Party,2014,2012,2010
Afghanistan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Albania,None,None,Answer/report not provided
Algeria,None,Full,Answer/report not provided
Antigua and Barbuda,Answer/report not provided,Answer/report not provided,Answer/report not provided
Armenia,None,None,None
Australia,Partially,Partially,Partially
Austria,Partially,Partially,Answer/report not provided
Azerbaijan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bahamas,Full,None,Answer/report not provided
Bahrain (Kingdom of),None,Answer/report not provided,Answer/report not provided
Bangladesh,Answer/report not provided,None,None
Barbados,None,None,Answer/report not provided
Belarus,Partially,Partially,Partially
Belgium,Partially,Partially,Partially
Belize,Answer/report not provided,Answer/report not provided,Answer/report not provided
Benin,None,Answer/report not provided,Answer/report not provided
Bhutan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bolivia,Answer/report not provided,None,Answer/report not provided
Bosnia and Herzegovina,None,None,Answer/report not provided
Botswana,Answer/report not provided,None,Answer/report not provided
Brazil,Full,Full,Full
Brunei Darussalam,None,Full,Answer/report not provided
Bulgaria,Full,Partially,Partially
Burkina Faso,None,None,Answer/report not provided
Burundi,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cambodia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cameroon,None,Answer/report not provided,Answer/report not provided
Canada,Answer/report not provided,Answer/report not provided,Answer/report not provided
Central African Republic,Answer/report not provided,None,Answer/report not provided
Chad,Answer/report not provided,None,Answer/report not provided
Chile,Answer/report not provided,Answer/report not provided,Answer/report not provided
China,Partially,Answer/report not provided,Answer/report not provided
Colombia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Comoros,Answer/report not provided,Answer/report not provided,None
Congo,None,None,Answer/report not provided
Cook Islands,Full,None,None
Costa Rica,Full,Full,Answer/report not provided
Côte d'Ivoire,None,Answer/report not provided,Answer/report not provided
Croatia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cyprus,Full,Full,Full
Czech Republic,Partially,Answer/report not provided,Answer/report not provided
Democratic People's Republic of Korea,Full,Full,Answer/report not provided
Democratic Republic of the Congo,Answer/report not provided,Answer/report not provided,Answer/report not provided
Denmark,Partially,Full,None
Djibouti,Answer/report not provided,Answer/report not provided,Answer/report not provided
Ecuador,None,Answer/report not provided,Answer/report not provided
Egypt,None,Answer/report not provided,Partially
El Salvador,Full,Answer/report not provided,Answer/report not provided
Estonia,Full,Full,Answer/report not provided
European Union,Answer/report not provided,Answer/report not provided,Answer/report not provided
Fiji,None,None,Answer/report not provided
Finland,None,None,None
France,Partially,Partially,Partially
Gabon,Answer/report not provided,Answer/report not provided,Answer/report not provided
Gambia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Georgia,Partially,Answer/report not provided,Answer/report not provided
Germany,Partially,Partially,Partially
Ghana,Answer/report not provided,None,Partially
Greece,Partially,Partially,Answer/report not provided
Grenada,Answer/report not provided,Answer/report not provided,Answer/report not provided
Guatemala,Answer/report not provided,Answer/report not provided,Answer/report not provided
Guyana,Answer/report not provided,Full,Full
Honduras,Full,Full,Full
Hungary,Full,Answer/report not provided,Full
Iceland,Answer/report not provided,Answer/report not provided,Answer/report not provided
India,Full,Full,Full
Iran (Islamic Republic of),Partially,Partially,Answer/report not provided
Iraq,None,Answer/report not provided,Answer/report not provided
Ireland,Answer/report not provided,Full,Full
Israel,Answer/report not provided,Full,Answer/report not provided
Italy,Partially,Partially,Answer/report not provided
Jamaica,Full,Answer/report not provided,Answer/report not provided
Japan,None,None,None
Jordan,Partially,Partially,None
Kazakhstan,None,None,Answer/report not provided
Kenya,None,Answer/report not provided,None
Kiribati,None,Answer/report not provided,Answer/report not provided
Kuwait,Full,Full,Full
Kyrgyzstan,Partially,Partially,Answer/report not provided
Lao People's Democratic Republic,Answer/report not provided,Answer/report not provided,Answer/report not provided
Latvia,None,None,None
Lebanon,None,Answer/report not provided,Answer/report not provided
Lesotho,Partially,Answer/report not provided,Full
Libyan Arab Jamahiriya,Partially,Partially,Answer/report not provided
Lithuania,None,None,None
Luxembourg,Partially,Partially,Partially
Madagascar,Answer/report not provided,Answer/report not provided,Answer/report not provided
Malaysia,None,None,None
Maldives,Answer/report not provided,Answer/report not provided,Answer/report not provided
Mali,Answer/report not provided,Answer/report not provided,Answer/report not provided
Malta,None,Answer/report not provided,Answer/report not provided
Marshall Islands,Answer/report not provided,None,None
Mauritania,Answer/report not provided,Answer/report not provided,Answer/report not provided
Mauritius,None,None,Answer/report not provided
Mexico,Full,None,None
Micronesia (Federated States of),Full,Full,Answer/report not provided
Mongolia,Answer/report not provided,Partially,Partially
Montenegro,Full,Full,Full
Myanmar,None,Answer/report not provided,Answer/report not provided
Namibia,Answer/report not provided,Partially,Partially
Nauru,Answer/report not provided,Answer/report not provided,Answer/report not provided
Nepal,Answer/report not provided,Answer/report not provided,Answer/report not provided
Netherlands,Full,Full,Full
New Zealand,Full,Full,Full
Niger,Answer/report not provided,Answer/report not provided,Answer/report not provided
Nigeria,Partially,Answer/report not provided,Answer/report not provided
Niue,Answer/report not provided,Answer/report not provided,Answer/report not provided
Norway,Partially,None,Answer/report not provided
Oman,None,None,Answer/report not provided
Pakistan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Palau,None,Full,Answer/report not provided
Panama,None,None,None
Papua New Guinea,None,Answer/report not provided,Answer/report not provided
Paraguay,None,None,Answer/report not provided
Peru,None,Answer/report not provided,Answer/report not provided
Philippines,Answer/report not provided,None,Answer/report not provided
Poland,Partially,Partially,Answer/report not provided
Portugal,Full,Full,Full
Qatar,Full,Full,Full
Republic of Korea,None,Partially,Partially
Republic of Moldova,Full,Answer/report not provided,Answer/report not provided
Romania,Partially,Answer/report not provided,Answer/report not provided
Russian Federation,None,None,Answer/report not provided
Rwanda,Answer/report not provided,Answer/report not provided,Answer/report not provided
Saint Kitts and Nevis,Answer/report not provided,Answer/report not provided,Answer/report not provided
Saint Lucia,Answer/report not provided,None,Answer/report not provided
Saint Vincent and the Grenadines,Answer/report not provided,Answer/report not provided,Answer/report not provided
Samoa,Answer/report not provided,Answer/report not provided,Answer/report not provided
San Marino,Partially,Answer/report not provided,Answer/report not provided
Sao Tome and Principe,None,Answer/report not provided,Answer/report not provided
Saudi Arabia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Senegal,Answer/report not provided,Answer/report not provided,Answer/report not provided
Serbia,Answer/report not provided,None,Answer/report not provided
Seychelles,Full,Full,None
Sierra Leone,Answer/report not provided,Answer/report not provided,Answer/report not provided
Singapore,Partially,Partially,Partially
Slovakia,Partially,Partially,Partially
Slovenia,None,None,None
Solomon Islands,None,Answer/report not provided,Answer/report not provided
South Africa,None,Answer/report not provided,Answer/report not provided
Spain,None,Partially,Full
Sri Lanka,Answer/report not provided,Answer/report not provided,Answer/report not provided
Sudan,Answer/report not provided,None,Answer/report not provided
Suriname,None,None,Answer/report not provided
Swaziland,Answer/report not provided,Partially,Answer/report not provided
Sweden,Partially,Partially,Partially
Syrian Arab Republic,Answer/report not provided,Answer/report not provided,Answer/report not provided
Tajikistan,None,Answer/report not provided,Answer/report not provided
Thailand,Full,Full,Full
The former Yugoslav Republic of Macedonia,None,Answer/report not provided,Answer/report not provided
Timor-Leste,Answer/report not provided,Answer/report not provided,Answer/report not provided
Togo,None,Answer/report not provided,None
Tonga,None,None,None
Trinidad and Tobago,Partially,Answer/report not provided,Answer/report not provided
Tunisia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Turkey,None,None,None
Turkmenistan,Full,Answer/report not provided,Answer/report not provided
Tuvalu,None,None,Answer/report not provided
Uganda,Answer/report not provided,Answer/report not provided,Answer/report not provided
Ukraine,None,Answer/report not provided,Answer/report not provided
United Arab Emirates,Full,Full,Answer/report not provided
United Kingdom,Full,Full,Full
United Republic of Tanzania,None,Answer/report not provided,Answer/report not provided
Uruguay,Full,Full,Full
Uzbekistan,None,Answer/report not provided,Answer/report not provided
Vanuatu,None,Answer/report not provided,Answer/report not provided
Venezuela,Full,Full,Answer/report not provided
Viet Nam,Answer/report not provided,Answer/report not provided,Answer/report not provided
Yemen,Answer/report not provided,Answer/report not provided,Answer/report not provided
