Party,2014,2012,2010
Afghanistan,Not applicable,Not applicable,Answer/report not provided
Albania,No,No,Answer/report not provided
Algeria,No,No,Not applicable
Antigua and Barbuda,No,No,Answer/report not provided
Armenia,No,No,No
Australia,Not applicable,Not applicable,Not applicable
Austria,Not applicable,Not applicable,Answer/report not provided
Azerbaijan,No,No,No
Bahamas,Not applicable,Not applicable,Answer/report not provided
Bahrain (Kingdom of),Not applicable,Not applicable,Answer/report not provided
Bangladesh,Yes,Yes,Yes
Barbados,Not applicable,Not applicable,Answer/report not provided
Belarus,No,No,No
Belgium,No,No,No
Belize,Not applicable,Answer/report not provided,Answer/report not provided
Benin,No,Not applicable,Not applicable
Bhutan,Not applicable,Not applicable,Not applicable
Bolivia,Answer/report not provided,No,Answer/report not provided
Bosnia and Herzegovina,No,Not applicable,Answer/report not provided
Botswana,Answer/report not provided,Not applicable,Answer/report not provided
Brazil,Yes,Yes,Yes
Brunei Darussalam,Not applicable,Not applicable,Answer/report not provided
Bulgaria,Yes,No,Not applicable
Burkina Faso,Yes,Yes,Answer/report not provided
Burundi,Answer/report not provided,No,Answer/report not provided
Cambodia,Not applicable,Not applicable,Not applicable
Cameroon,No,Answer/report not provided,Answer/report not provided
Canada,No,Yes,Yes
Central African Republic,Answer/report not provided,No,Answer/report not provided
Chad,Answer/report not provided,Yes,Answer/report not provided
Chile,No,No,Answer/report not provided
China,Yes,Yes,Yes
Colombia,Yes,Yes,Answer/report not provided
Comoros,Answer/report not provided,Not applicable,No
Congo,No,Not applicable,Answer/report not provided
Cook Islands,Not applicable,Not applicable,Not applicable
Costa Rica,No,Not applicable,Answer/report not provided
Côte d'Ivoire,Not applicable,No,Answer/report not provided
Croatia,No,No,Answer/report not provided
Cyprus,Not applicable,Not applicable,Not applicable
Czech Republic,Not applicable,Answer/report not provided,Answer/report not provided
Democratic People's Republic of Korea,Answer/report not provided,Not applicable,Answer/report not provided
Democratic Republic of the Congo,Answer/report not provided,Answer/report not provided,Answer/report not provided
Denmark,Not applicable,Not applicable,Not applicable
Djibouti,Not applicable,Not applicable,Answer/report not provided
Ecuador,No,No,Answer/report not provided
Egypt,Not applicable,Not applicable,Not applicable
El Salvador,Not applicable,Answer/report not provided,Answer/report not provided
Estonia,Not applicable,Not applicable,Answer/report not provided
European Union,Yes,Yes,Answer/report not provided
Fiji,No,No,Answer/report not provided
Finland,Not applicable,Not applicable,Not applicable
France,Not applicable,No,Not applicable
