Party,2014,2012,2010
Afghanistan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Albania,Answer/report not provided,Answer/report not provided,Answer/report not provided
Algeria,No,Answer/report not provided,No
Antigua and Barbuda,Answer/report not provided,Answer/report not provided,Answer/report not provided
Armenia,No,No,No
Australia,Yes,Yes,Yes
Austria,Yes,Yes,Answer/report not provided
Azerbaijan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bahamas,Yes,Yes,Answer/report not provided
Bahrain (Kingdom of),Yes,Yes,Answer/report not provided
Bangladesh,No,Answer/report not provided,Answer/report not provided
Barbados,Yes,Yes,Answer/report not provided
Belarus,No,No,No
Belgium,Yes,Yes,Yes
Belize,Answer/report not provided,Answer/report not provided,Answer/report not provided
Benin,No,No,Answer/report not provided
Bhutan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bolivia,Answer/report not provided,Yes,Answer/report not provided
Bosnia and Herzegovina,Yes,Yes,Answer/report not provided
Botswana,Answer/report not provided,No,Answer/report not provided
Brazil,Yes,Yes,Yes
Brunei Darussalam,No,No,Answer/report not provided
Bulgaria,Yes,No,No
Burkina Faso,Yes,No,Answer/report not provided
Burundi,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cambodia,No,Answer/report not provided,Answer/report not provided
Cameroon,No,Answer/report not provided,Answer/report not provided
Canada,Yes,Yes,Yes
Central African Republic,Answer/report not provided,Answer/report not provided,Answer/report not provided
Chad,Answer/report not provided,No,Answer/report not provided
Chile,Yes,Yes,Answer/report not provided
China,Yes,Yes,Yes
Colombia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Comoros,Answer/report not provided,Answer/report not provided,Answer/report not provided
Congo,Yes,Yes,Answer/report not provided
Cook Islands,No,Answer/report not provided,No
Costa Rica,Yes,Yes,Answer/report not provided
Côte d'Ivoire,No,Answer/report not provided,Answer/report not provided
Croatia,Yes,Answer/report not provided,Answer/report not provided
Cyprus,No,No,No
Czech Republic,Yes,Answer/report not provided,Answer/report not provided
Democratic People's Republic of Korea,Answer/report not provided,No,Answer/report not provided
Democratic Republic of the Congo,Answer/report not provided,Answer/report not provided,Answer/report not provided
Denmark,Yes,Yes,Yes
Djibouti,No,Yes,Answer/report not provided
Ecuador,Yes,Yes,Answer/report not provided
Egypt,Answer/report not provided,Answer/report not provided,Answer/report not provided
El Salvador,Yes,Answer/report not provided,Answer/report not provided
Estonia,Yes,No,Answer/report not provided
European Union,Answer/report not provided,Answer/report not provided,Answer/report not provided
Fiji,Yes,No,Answer/report not provided
Finland,Yes,Yes,Yes
France,Yes,Yes,Yes
Gabon,Answer/report not provided,Answer/report not provided,Answer/report not provided
Gambia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Georgia,No,No,Answer/report not provided
Germany,Yes,Answer/report not provided,Answer/report not provided
Ghana,Answer/report not provided,Answer/report not provided,Answer/report not provided
Greece,Yes,Yes,Answer/report not provided
Grenada,Answer/report not provided,Answer/report not provided,Answer/report not provided
Guatemala,Yes,Yes,Answer/report not provided
Guyana,Answer/report not provided,Yes,Yes
Honduras,Answer/report not provided,Yes,Yes
Hungary,No,No,No
Iceland,Yes,Yes,Answer/report not provided
India,Yes,Yes,Yes
Iran (Islamic Republic of),No,Yes,Answer/report not provided
Iraq,Yes,Answer/report not provided,Answer/report not provided
Ireland,Yes,Yes,Yes
Israel,Answer/report not provided,Yes,Answer/report not provided
Italy,Yes,Yes,Answer/report not provided
Jamaica,Yes,Answer/report not provided,Answer/report not provided
Japan,No,No,No
Jordan,No,No,No
