Party,2014,2012,2010
Afghanistan,Answer/report not provided,technical and financial assistance to establish tobacco control program,Answer/report not provided
Albania,Answer/report not provided,Answer/report not provided,Answer/report not provided
Algeria,Answer/report not provided,"Appui technique à lelaboration dune strategie nationale d aide au sevrage tabagique
Appui technique à la mise en place dun laboratoire de contrôle des produits tabagique",Suivi et application de la stratégie nationale de lutte anti-tabac par la création dun comité intersectoriel et lapplication des mesures pour chaque secteur
Antigua and Barbuda,Antigua & Barbuda has prepared a draft Tobacco Control Act. It is anticipated that some measure of financial and technical assistance will be received as we progress towards the final draft.,Antigua & Barbuda has prepared a draft tobacco controll act. it is anticipated that some measure of financial and technical assistance will be reieved as we progress towards the final draft.,Answer/report not provided
Armenia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Australia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Austria,Answer/report not provided,Answer/report not provided,Answer/report not provided
Azerbaijan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bahamas,Answer/report not provided,technical and legal expertise to establish and strengthen national tobacco control strategies plans and programs.,Answer/report not provided
Bahrain (Kingdom of),Answer/report not provided,Answer/report not provided,Answer/report not provided
Bangladesh,Answer/report not provided,Answer/report not provided,Answer/report not provided
Barbados,Answer/report not provided,Answer/report not provided,Answer/report not provided
Belarus,Answer/report not provided,Answer/report not provided,Answer/report not provided
Belgium,Answer/report not provided,Answer/report not provided,Answer/report not provided
Belize,Answer/report not provided,Answer/report not provided,Answer/report not provided
Benin,Evaluation des besoins pour la mise œuvre de la CCLAT au Bénin.,pour le fonctionnement du comité intersectoriel de lutte contre la consommation du tabac de lalcool et de la drogue pour la réalisation du plan daction pour la lutte anti tabac pour la révision et le renforcement de la loi,pour le fonctionnement du comité intersectoriel de lutte contre la consommation du tabac de lalcool et de la drogue pour la réalisation du plan daction pour la lutte anti tabac pour la révision et le renforcement de la loi
Bhutan,For successful implementation of tobacco control Bhutan requires financial and technical support for tobacco cessation programmes,Answer/report not provided,Answer/report not provided
Bolivia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bosnia and Herzegovina,If possible technical assistance of FCTC Secretariat to raise further intersectoral tobacco control and capacity building.,If possible technical assistance of FCTC Secretariat to raise further intersectorial tobacco control and capacity building.,Answer/report not provided
Botswana,Answer/report not provided,Answer/report not provided,Answer/report not provided
Brazil,Technical assistance related to article 19 - Liability,We need to receive technical assistance related to article 19 - Liability,We need to receive technical assistance related to article 19 - Liability
Brunei Darussalam,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bulgaria,Answer/report not provided,Answer/report not provided,Answer/report not provided
Burkina Faso,Answer/report not provided,Answer/report not provided,Answer/report not provided
Burundi,Answer/report not provided,Appui financier par lOMS,Answer/report not provided
Cambodia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cameroon,Answer/report not provided,Answer/report not provided,Answer/report not provided
