Party,2014,2012,2010
Afghanistan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Albania,Answer/report not provided,Answer/report not provided,Answer/report not provided
Algeria,Yes,Yes,Yes
Antigua and Barbuda,No,Answer/report not provided,Answer/report not provided
Armenia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Australia,Yes,Yes,Yes
Austria,Yes,Yes,Answer/report not provided
Azerbaijan,No,Answer/report not provided,Answer/report not provided
Bahamas,No,No,Answer/report not provided
Bahrain (Kingdom of),Yes,Yes,Answer/report not provided
Bangladesh,No,No,Answer/report not provided
Barbados,No,Answer/report not provided,Answer/report not provided
Belarus,Yes,Yes,Yes
Belgium,Yes,Answer/report not provided,Answer/report not provided
Belize,Yes,Answer/report not provided,Answer/report not provided
Benin,No,Answer/report not provided,Answer/report not provided
Bhutan,Yes,Yes,Yes
Bolivia,Answer/report not provided,No,Answer/report not provided
Bosnia and Herzegovina,Yes,Yes,Answer/report not provided
Botswana,Answer/report not provided,Yes,Answer/report not provided
Brazil,Yes,Yes,Yes
Brunei Darussalam,Yes,Answer/report not provided,Answer/report not provided
Bulgaria,Yes,Yes,Yes
Burkina Faso,No,Answer/report not provided,Answer/report not provided
Burundi,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cambodia,No,No,No
Cameroon,No,Answer/report not provided,Answer/report not provided
Canada,Yes,Yes,Yes
Central African Republic,Answer/report not provided,Answer/report not provided,Answer/report not provided
Chad,Answer/report not provided,Yes,Answer/report not provided
Chile,No,Yes,Answer/report not provided
China,Yes,No,No
Colombia,Yes,Yes,Answer/report not provided
Comoros,Answer/report not provided,Answer/report not provided,Answer/report not provided
Congo,No,Answer/report not provided,Answer/report not provided
Cook Islands,Yes,Answer/report not provided,Answer/report not provided
Costa Rica,Yes,Answer/report not provided,Answer/report not provided
Côte d'Ivoire,Yes,Answer/report not provided,Answer/report not provided
Croatia,No,Answer/report not provided,Answer/report not provided
Cyprus,Yes,Yes,Yes
Czech Republic,Yes,Answer/report not provided,Answer/report not provided
Democratic People's Republic of Korea,Yes,Answer/report not provided,Answer/report not provided
Democratic Republic of the Congo,Answer/report not provided,Answer/report not provided,Answer/report not provided
Denmark,Yes,Yes,Answer/report not provided
Djibouti,Yes,Yes,Answer/report not provided
Ecuador,Yes,No,Answer/report not provided
Egypt,No,Answer/report not provided,No
El Salvador,Answer/report not provided,Answer/report not provided,Answer/report not provided
Estonia,Yes,Yes,Answer/report not provided
European Union,Yes,Yes,Yes
Fiji,Yes,Yes,Answer/report not provided
Finland,Yes,Yes,Yes
France,Answer/report not provided,Yes,Yes
Gabon,Yes,Answer/report not provided,Answer/report not provided
Gambia,Yes,Answer/report not provided,Answer/report not provided
Georgia,No,No,Answer/report not provided
Germany,Answer/report not provided,Answer/report not provided,Answer/report not provided
Ghana,Yes,Answer/report not provided,Yes
Greece,Yes,Yes,Answer/report not provided
Grenada,No,Answer/report not provided,Answer/report not provided
Guatemala,Yes,Answer/report not provided,Answer/report not provided
Guyana,Answer/report not provided,Answer/report not provided,Answer/report not provided
Honduras,Yes,No,No
Hungary,Yes,Yes,Yes
Iceland,Answer/report not provided,Answer/report not provided,Answer/report not provided
India,Yes,Yes,Yes
Iran (Islamic Republic of),Yes,Yes,Answer/report not provided
Iraq,Answer/report not provided,Answer/report not provided,Answer/report not provided
Ireland,Yes,Yes,Yes
Israel,Answer/report not provided,Yes,Answer/report not provided
Italy,Yes,Yes,Answer/report not provided
Jamaica,Yes,Answer/report not provided,Answer/report not provided
Japan,Yes,Yes,Yes
