Party,2014,2012,2010
Afghanistan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Albania,Answer/report not provided,Answer/report not provided,Answer/report not provided
Algeria,Answer/report not provided,Answer/report not provided,Answer/report not provided
Antigua and Barbuda,Answer/report not provided,Answer/report not provided,Answer/report not provided
Armenia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Australia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Austria,The last remaining tobacco manufacturing site within Austrian territory (Austria Tabak in Hainburg) closed down in December 2011.,Answer/report not provided,Answer/report not provided
Azerbaijan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bahamas,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bahrain (Kingdom of),Answer/report not provided,Answer/report not provided,Answer/report not provided
Bangladesh,Answer/report not provided,Answer/report not provided,Answer/report not provided
Barbados,Answer/report not provided,Answer/report not provided,Answer/report not provided
Belarus,Answer/report not provided,Answer/report not provided,Answer/report not provided
Belgium,Answer/report not provided,Answer/report not provided,Answer/report not provided
Belize,Answer/report not provided,Answer/report not provided,Answer/report not provided
Benin,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bhutan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bolivia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bosnia and Herzegovina,Answer/report not provided,Answer/report not provided,Answer/report not provided
Botswana,Answer/report not provided,Answer/report not provided,Answer/report not provided
Brazil,Answer/report not provided,These measures are part of the Brazilian National Program to Support Diversification in Tobacco Cultivated Areas. There is a pilot project in the municipality of Don Feliciano through which different areas of Health (INCA occupational health health surveillance) Labor Agriculture and Agricultural Development Ministries are working to get data on the farmers economic work and health situation and sensitize them about the oportunities in the diversification program and all environmental damage.,These measures are part of the Brazilian National Program to Support Diversification in Tobacco Cultivated Areas. There is a pilot project in the municipality of Don Feliciano through which different areas of Health (INCA occupational health health surveillance) Labor Agriculture and Agricultural Development Ministries are working to get data on the farmers economic work and health situation and sensitize them about the oportunities in the diversification program and all environmental damage.
Brunei Darussalam,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bulgaria,Answer/report not provided,Answer/report not provided,Answer/report not provided
Burkina Faso,Answer/report not provided,Answer/report not provided,Answer/report not provided
Burundi,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cambodia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cameroon,Answer/report not provided,Answer/report not provided,Answer/report not provided
Canada,Answer/report not provided,Answer/report not provided,Answer/report not provided
Central African Republic,Answer/report not provided,Answer/report not provided,Answer/report not provided
Chad,Answer/report not provided,Answer/report not provided,Answer/report not provided
Chile,Answer/report not provided,Answer/report not provided,Answer/report not provided
China,Answer/report not provided,Answer/report not provided,Answer/report not provided
Colombia,En las zonas productoras. se realizan actividades de reforestación. manejo de aguas y suelos y conservación del medio ambiente entre otras.,En las zonas productoras se realizan actividades de reforestación manejo de aguas y suelos y conservación del medio ambiente entre otras.,Answer/report not provided
Comoros,Answer/report not provided,Answer/report not provided,Answer/report not provided
Congo,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cook Islands,Answer/report not provided,There is no tobacco industry in Cook Islands.,Answer/report not provided
Costa Rica,Answer/report not provided,Answer/report not provided,Answer/report not provided
Côte d'Ivoire,Answer/report not provided,Cet aspect de la problématique du tabagisme sera pris en compte par une prochaine loi nationale antitabac qui sera proposée aux députés dans les prochaines semaines.,Answer/report not provided
Croatia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cyprus,Answer/report not provided,Answer/report not provided,Answer/report not provided
