Party,2014,2012,2010
Afghanistan,Answer/report not provided,No,Answer/report not provided
Albania,Yes,Yes,Answer/report not provided
Algeria,No,Yes,Yes
Antigua and Barbuda,Yes,Yes,Answer/report not provided
Armenia,Yes,Yes,Yes
Australia,Yes,Yes,No
Austria,No,Yes,Answer/report not provided
Azerbaijan,No,No,No
Bahamas,No,No,Answer/report not provided
Bahrain (Kingdom of),Yes,Yes,Answer/report not provided
Bangladesh,No,No,No
Barbados,Yes,Yes,Answer/report not provided
Belarus,Yes,Yes,Yes
Belgium,Yes,Yes,Yes
Belize,Yes,Answer/report not provided,Answer/report not provided
Benin,No,Yes,Yes
Bhutan,Yes,Yes,Yes
Bolivia,Answer/report not provided,No,Answer/report not provided
Bosnia and Herzegovina,Yes,Yes,Answer/report not provided
Botswana,Answer/report not provided,Yes,Answer/report not provided
Brazil,Yes,Yes,Yes
Brunei Darussalam,Yes,Yes,Answer/report not provided
Bulgaria,Yes,Yes,Yes
Burkina Faso,No,No,Answer/report not provided
Burundi,Answer/report not provided,Yes,Answer/report not provided
Cambodia,Yes,Yes,Yes
Cameroon,Yes,Answer/report not provided,Answer/report not provided
Canada,Yes,Yes,Yes
Central African Republic,Answer/report not provided,No,Answer/report not provided
Chad,Answer/report not provided,Yes,Answer/report not provided
Chile,No,Yes,Answer/report not provided
China,Yes,Yes,Yes
Colombia,No,No,Answer/report not provided
Comoros,Answer/report not provided,No,No
Congo,No,No,Answer/report not provided
Cook Islands,Yes,Yes,Yes
Costa Rica,Yes,Yes,Answer/report not provided
Côte d'Ivoire,No,No,Answer/report not provided
Croatia,No,No,Answer/report not provided
Cyprus,Yes,Yes,Yes
Czech Republic,Yes,Answer/report not provided,Answer/report not provided
Democratic People's Republic of Korea,Yes,Yes,Answer/report not provided
Democratic Republic of the Congo,Answer/report not provided,Answer/report not provided,Answer/report not provided
Denmark,Yes,Yes,Yes
Djibouti,No,No,Answer/report not provided
Ecuador,Yes,Yes,Answer/report not provided
Egypt,No,No,Yes
El Salvador,No,Answer/report not provided,Answer/report not provided
Estonia,No,No,Answer/report not provided
European Union,No,No,Answer/report not provided
Fiji,No,Yes,Answer/report not provided
Finland,Yes,Yes,Yes
France,No,No,No
Gabon,No,Yes,Answer/report not provided
Gambia,Yes,Yes,Answer/report not provided
Georgia,Yes,Yes,Answer/report not provided
Germany,Yes,Yes,Yes
Ghana,No,Yes,No
Greece,No,No,Answer/report not provided
Grenada,No,Answer/report not provided,Answer/report not provided
Guatemala,Answer/report not provided,No,Answer/report not provided
Guyana,Answer/report not provided,Yes,Yes
Honduras,Yes,No,No
Hungary,Yes,Yes,Yes
Iceland,Yes,Yes,Answer/report not provided
India,Yes,Yes,Yes
Iran (Islamic Republic of),Yes,Yes,Answer/report not provided
Iraq,No,No,Answer/report not provided
Ireland,Yes,Yes,Yes
Israel,Answer/report not provided,Yes,Answer/report not provided
Italy,Yes,Yes,Answer/report not provided
Jamaica,Yes,Answer/report not provided,Answer/report not provided
Japan,No,No,Yes
Jordan,Yes,Yes,Yes
Kazakhstan,No,No,Answer/report not provided
Kenya,Answer/report not provided,Answer/report not provided,Yes
Kiribati,Yes,Answer/report not provided,Answer/report not provided
Kuwait,Yes,Yes,Yes
Kyrgyzstan,Yes,Yes,Answer/report not provided
Lao People's Democratic Republic,No,No,Answer/report not provided
Latvia,No,Yes,Yes
Lebanon,No,Yes,Yes
Lesotho,Yes,Answer/report not provided,Yes
Libyan Arab Jamahiriya,Yes,Yes,Answer/report not provided
Lithuania,Yes,Yes,Yes
Luxembourg,Yes,Yes,Yes
Madagascar,No,Yes,Yes
Malaysia,Yes,No,No
Maldives,No,Answer/report not provided,Answer/report not provided
Mali,No,No,Answer/report not provided
Malta,Yes,Yes,Yes
Marshall Islands,No,Yes,No
Mauritania,Answer/report not provided,No,Answer/report not provided
Mauritius,No,No,No
Mexico,Yes,Yes,Yes
Micronesia (Federated States of),Yes,Yes,Yes
Mongolia,No,Yes,Yes
Montenegro,No,No,No
Myanmar,No,Answer/report not provided,Answer/report not provided
Namibia,Answer/report not provided,No,No
Nauru,Answer/report not provided,Answer/report not provided,Answer/report not provided
Nepal,Yes,Yes,Answer/report not provided
Netherlands,Yes,No,Yes
New Zealand,Yes,Yes,Yes
Niger,Answer/report not provided,No,Answer/report not provided
Nigeria,No,Answer/report not provided,Answer/report not provided
Niue,No,Answer/report not provided,No
Norway,No,No,No
Oman,No,No,No
Pakistan,No,No,Answer/report not provided
Palau,Yes,No,No
Panama,Yes,Yes,Yes
Papua New Guinea,No,Answer/report not provided,Answer/report not provided
Paraguay,Yes,Yes,Answer/report not provided
Peru,No,No,Answer/report not provided
Philippines,No,Yes,Answer/report not provided
Poland,Yes,Yes,Answer/report not provided
Portugal,Yes,No,No
Qatar,Yes,Yes,Yes
Republic of Korea,Yes,Yes,Yes
Republic of Moldova,Yes,No,Answer/report not provided
Romania,No,Answer/report not provided,Answer/report not provided
Russian Federation,No,No,Answer/report not provided
Rwanda,Answer/report not provided,No,Answer/report not provided
Saint Kitts and Nevis,Answer/report not provided,No,Answer/report not provided
Saint Lucia,Answer/report not provided,No,Answer/report not provided
Saint Vincent and the Grenadines,Answer/report not provided,No,Answer/report not provided
Samoa,Answer/report not provided,Answer/report not provided,Answer/report not provided
San Marino,No,No,No
Sao Tome and Principe,Yes,No,Answer/report not provided
Saudi Arabia,Yes,Yes,Answer/report not provided
Senegal,No,No,Answer/report not provided
Serbia,No,No,No
Seychelles,No,No,No
Sierra Leone,No,Yes,Answer/report not provided
Singapore,Yes,Yes,Yes
Slovakia,Yes,Yes,Yes
Slovenia,Yes,Yes,Yes
Solomon Islands,No,Yes,Yes
South Africa,No,No,No
Spain,Yes,Yes,Yes
Sri Lanka,Answer/report not provided,No,Answer/report not provided
Sudan,Answer/report not provided,Yes,Answer/report not provided
Suriname,Yes,Yes,Answer/report not provided
Swaziland,Answer/report not provided,Yes,Answer/report not provided
Sweden,Yes,No,No
Syrian Arab Republic,Answer/report not provided,Answer/report not provided,No
Tajikistan,Yes,Answer/report not provided,Answer/report not provided
Thailand,Yes,Yes,Yes
The former Yugoslav Republic of Macedonia,No,Answer/report not provided,Answer/report not provided
Timor-Leste,Answer/report not provided,Answer/report not provided,Answer/report not provided
Togo,No,No,No
Tonga,Yes,Yes,Yes
Trinidad and Tobago,No,No,No
Tunisia,Yes,Yes,Answer/report not provided
Turkey,No,No,No
Turkmenistan,Yes,Answer/report not provided,Answer/report not provided
Tuvalu,No,No,Answer/report not provided
Uganda,No,No,Answer/report not provided
Ukraine,No,No,No
United Arab Emirates,Yes,Yes,Answer/report not provided
United Kingdom,Yes,Yes,Yes
United Republic of Tanzania,Yes,No,Answer/report not provided
Uruguay,No,No,No
Uzbekistan,Yes,Answer/report not provided,Answer/report not provided
Vanuatu,No,No,Answer/report not provided
Venezuela,Yes,Yes,Answer/report not provided
Viet Nam,No,No,No
Yemen,No,No,Answer/report not provided
