Party,2014,2012,2010
Afghanistan,Not applicable,Not applicable,Answer/report not provided
Albania,Yes,Yes,Answer/report not provided
Algeria,Not applicable,No,Not applicable
Antigua and Barbuda,No,No,Answer/report not provided
Armenia,Not applicable,Not applicable,Yes
Australia,Not applicable,Not applicable,Not applicable
Austria,Not applicable,Not applicable,Answer/report not provided
Azerbaijan,No,No,No
Bahamas,Not applicable,Not applicable,Answer/report not provided
Bahrain (Kingdom of),Not applicable,Not applicable,Answer/report not provided
Bangladesh,No,No,No
Barbados,Not applicable,Not applicable,Answer/report not provided
Belarus,No,No,No
Belgium,No,Not applicable,Not applicable
Belize,Not applicable,Answer/report not provided,Answer/report not provided
Benin,Yes,Not applicable,Not applicable
Bhutan,Yes,Not applicable,Not applicable
Bolivia,Answer/report not provided,No,Answer/report not provided
Bosnia and Herzegovina,No,Not applicable,Answer/report not provided
Botswana,Answer/report not provided,Not applicable,Answer/report not provided
Brazil,Yes,Yes,Yes
Brunei Darussalam,Not applicable,Not applicable,Answer/report not provided
Bulgaria,Yes,Yes,Yes
Burkina Faso,No,No,Answer/report not provided
Burundi,Answer/report not provided,No,Answer/report not provided
Cambodia,Not applicable,Not applicable,Not applicable
Cameroon,No,Answer/report not provided,Answer/report not provided
Canada,Yes,Yes,Yes
Central African Republic,Answer/report not provided,No,Answer/report not provided
Chad,Answer/report not provided,Yes,Answer/report not provided
Chile,No,No,Answer/report not provided
China,Yes,Yes,Yes
Colombia,No,No,Answer/report not provided
Comoros,Answer/report not provided,Not applicable,No
Congo,No,No,Answer/report not provided
Cook Islands,Not applicable,Not applicable,Not applicable
Costa Rica,No,Not applicable,Answer/report not provided
Côte d'Ivoire,No,No,Answer/report not provided
Croatia,No,No,Answer/report not provided
Cyprus,Not applicable,Not applicable,Not applicable
Czech Republic,Not applicable,Answer/report not provided,Answer/report not provided
Democratic People's Republic of Korea,Yes,Not applicable,Answer/report not provided
Democratic Republic of the Congo,Answer/report not provided,Answer/report not provided,Answer/report not provided
Denmark,Not applicable,Not applicable,Not applicable
Djibouti,Not applicable,Not applicable,Answer/report not provided
Ecuador,No,No,Answer/report not provided
Egypt,Not applicable,Not applicable,Yes
El Salvador,Not applicable,Answer/report not provided,Answer/report not provided
Estonia,Not applicable,Not applicable,Answer/report not provided
European Union,Yes,Yes,Answer/report not provided
Fiji,Yes,No,Answer/report not provided
Finland,Not applicable,Not applicable,Not applicable
France,Not applicable,Not applicable,Not applicable
Gabon,Not applicable,No,Answer/report not provided
Gambia,Not applicable,Not applicable,Answer/report not provided
Georgia,No,No,Answer/report not provided
Germany,No,No,No
Ghana,Yes,No,No
Greece,Not applicable,Not applicable,Answer/report not provided
Grenada,Not applicable,Answer/report not provided,Answer/report not provided
Guatemala,No,No,Answer/report not provided
Guyana,Answer/report not provided,Not applicable,Not applicable
Honduras,Yes,Yes,Yes
Hungary,Yes,Yes,Yes
Iceland,Not applicable,Not applicable,Answer/report not provided
India,Yes,Yes,No
Iran (Islamic Republic of),Yes,No,Answer/report not provided
Iraq,No,Not applicable,Answer/report not provided
Ireland,Not applicable,Not applicable,Not applicable
Israel,Answer/report not provided,Not applicable,Answer/report not provided
Italy,Yes,No,Answer/report not provided
Jamaica,Not applicable,Answer/report not provided,Answer/report not provided
Japan,Yes,Yes,Yes
Jordan,Not applicable,Not applicable,Yes
Kazakhstan,Yes,Yes,Answer/report not provided
Kenya,Yes,Answer/report not provided,Yes
Kiribati,Not applicable,Answer/report not provided,Answer/report not provided
Kuwait,Yes,Not applicable,Not applicable
Kyrgyzstan,Yes,Not applicable,Answer/report not provided
Lao People's Democratic Republic,No,No,Answer/report not provided
Latvia,No,Not applicable,Not applicable
Lebanon,No,No,No
Lesotho,No,Answer/report not provided,Not applicable
Libyan Arab Jamahiriya,Answer/report not provided,Not applicable,Answer/report not provided
Lithuania,Not applicable,Not applicable,Not applicable
Luxembourg,Not applicable,Not applicable,Not applicable
Madagascar,No,Not applicable,Not applicable
Malaysia,Not applicable,Not applicable,Not applicable
Maldives,Not applicable,Answer/report not provided,Answer/report not provided
Mali,No,No,Answer/report not provided
Malta,Not applicable,Not applicable,Not applicable
Marshall Islands,Not applicable,Not applicable,Not applicable
Mauritania,Answer/report not provided,Answer/report not provided,Answer/report not provided
Mauritius,No,No,No
Mexico,Answer/report not provided,Yes,Yes
Micronesia (Federated States of),No,No,Answer/report not provided
Mongolia,Not applicable,Not applicable,Not applicable
Montenegro,No,No,No
Myanmar,Not applicable,Answer/report not provided,Answer/report not provided
Namibia,Answer/report not provided,Not applicable,Not applicable
Nauru,Answer/report not provided,Answer/report not provided,Answer/report not provided
Nepal,No,No,Answer/report not provided
Netherlands,Not applicable,Not applicable,Not applicable
New Zealand,Not applicable,Not applicable,Not applicable
Niger,Answer/report not provided,No,Answer/report not provided
Nigeria,No,Answer/report not provided,Answer/report not provided
Niue,No,Answer/report not provided,No
Norway,Not applicable,Not applicable,Not applicable
Oman,Yes,No,No
Pakistan,Yes,Yes,Answer/report not provided
Palau,Not applicable,Yes,Not applicable
Panama,Not applicable,Not applicable,Not applicable
Papua New Guinea,No,Answer/report not provided,Answer/report not provided
Paraguay,No,No,Answer/report not provided
Peru,Yes,Answer/report not provided,Answer/report not provided
Philippines,Answer/report not provided,No,Answer/report not provided
Poland,No,Answer/report not provided,Answer/report not provided
Portugal,Yes,Yes,Yes
Qatar,Not applicable,Not applicable,Answer/report not provided
Republic of Korea,No,No,No
Republic of Moldova,Yes,Yes,Answer/report not provided
Romania,No,Answer/report not provided,Answer/report not provided
Russian Federation,No,Not applicable,Answer/report not provided
Rwanda,Answer/report not provided,Not applicable,Answer/report not provided
Saint Kitts and Nevis,Answer/report not provided,Not applicable,Answer/report not provided
Saint Lucia,Answer/report not provided,Not applicable,Answer/report not provided
Saint Vincent and the Grenadines,Answer/report not provided,Not applicable,Answer/report not provided
Samoa,Answer/report not provided,Answer/report not provided,Answer/report not provided
San Marino,Not applicable,Not applicable,Not applicable
Sao Tome and Principe,No,No,Answer/report not provided
Saudi Arabia,Not applicable,Not applicable,Answer/report not provided
Senegal,Not applicable,Not applicable,Answer/report not provided
Serbia,No,No,No
Seychelles,Not applicable,Not applicable,Not applicable
Sierra Leone,No,No,Answer/report not provided
Singapore,Not applicable,Not applicable,Not applicable
Slovakia,Not applicable,Not applicable,Not applicable
Slovenia,Not applicable,Not applicable,Not applicable
Solomon Islands,Not applicable,Not applicable,Not applicable
South Africa,No,No,No
Spain,Answer/report not provided,Yes,Yes
Sri Lanka,Answer/report not provided,Yes,Answer/report not provided
Sudan,Answer/report not provided,No,Answer/report not provided
Suriname,Not applicable,No,Answer/report not provided
Swaziland,Answer/report not provided,Not applicable,Answer/report not provided
Sweden,Not applicable,Not applicable,Not applicable
Syrian Arab Republic,Answer/report not provided,Answer/report not provided,No
Tajikistan,Not applicable,Answer/report not provided,Answer/report not provided
Thailand,Yes,Yes,Yes
The former Yugoslav Republic of Macedonia,Yes,Answer/report not provided,Answer/report not provided
Timor-Leste,Answer/report not provided,Answer/report not provided,Answer/report not provided
Togo,Not applicable,No,Not applicable
Tonga,Not applicable,Not applicable,Not applicable
Trinidad and Tobago,Not applicable,Not applicable,Not applicable
Tunisia,Yes,No,Answer/report not provided
Turkey,Yes,Yes,Yes
Turkmenistan,Not applicable,Answer/report not provided,Answer/report not provided
Tuvalu,Not applicable,Not applicable,Answer/report not provided
Uganda,No,No,Answer/report not provided
Ukraine,Not applicable,No,No
United Arab Emirates,Yes,Yes,Answer/report not provided
