Party,2014,2012,2010
Afghanistan,Answer/report not provided,No,Answer/report not provided
Albania,Yes,Yes,Answer/report not provided
Algeria,Yes,Yes,Yes
Antigua and Barbuda,No,No,Answer/report not provided
Armenia,Yes,Yes,Yes
Australia,Yes,Yes,Yes
Austria,Yes,Yes,Answer/report not provided
Azerbaijan,Yes,Yes,Yes
Bahamas,Yes,No,Answer/report not provided
Bahrain (Kingdom of),Yes,Yes,Answer/report not provided
Bangladesh,No,No,Yes
Barbados,No,No,Answer/report not provided
Belarus,Yes,Yes,Yes
Belgium,Yes,No,No
Belize,Yes,Answer/report not provided,Answer/report not provided
Benin,Yes,Yes,Yes
Bhutan,No,No,Answer/report not provided
Bolivia,Answer/report not provided,Yes,Answer/report not provided
Bosnia and Herzegovina,Yes,Yes,Answer/report not provided
Botswana,Answer/report not provided,Yes,Answer/report not provided
Brazil,Yes,Yes,Yes
Brunei Darussalam,No,No,Answer/report not provided
Bulgaria,No,Yes,Yes
Burkina Faso,No,Yes,Answer/report not provided
Burundi,Answer/report not provided,No,Answer/report not provided
Cambodia,No,No,No
Cameroon,No,Answer/report not provided,Answer/report not provided
Canada,Yes,Yes,Yes
Central African Republic,Answer/report not provided,No,Answer/report not provided
Chad,Answer/report not provided,Yes,Answer/report not provided
Chile,No,Yes,Answer/report not provided
China,Yes,Yes,Yes
Colombia,Yes,Yes,Answer/report not provided
Comoros,Answer/report not provided,Yes,No
Congo,No,No,Answer/report not provided
Cook Islands,No,No,No
Costa Rica,Yes,Yes,Answer/report not provided
Côte d'Ivoire,Yes,Yes,Answer/report not provided
Croatia,Yes,Yes,Answer/report not provided
Cyprus,Yes,Yes,Yes
Czech Republic,Yes,Answer/report not provided,Answer/report not provided
Democratic People's Republic of Korea,Answer/report not provided,Yes,Answer/report not provided
Democratic Republic of the Congo,Answer/report not provided,Answer/report not provided,Answer/report not provided
Denmark,Yes,Yes,Yes
Djibouti,Yes,Yes,Answer/report not provided
Ecuador,Yes,Yes,Answer/report not provided
Egypt,No,Yes,Yes
El Salvador,Yes,Answer/report not provided,Answer/report not provided
Estonia,Yes,Yes,Answer/report not provided
European Union,Yes,Yes,Yes
Fiji,No,Yes,Answer/report not provided
Finland,Yes,Yes,Yes
France,Answer/report not provided,No,No
Gabon,Yes,Yes,Answer/report not provided
Gambia,Yes,No,Answer/report not provided
Georgia,No,No,Answer/report not provided
Germany,Yes,Yes,Yes
Ghana,Yes,No,Yes
Greece,Yes,Yes,Answer/report not provided
Grenada,No,Answer/report not provided,Answer/report not provided
Guatemala,No,No,Answer/report not provided
Guyana,Answer/report not provided,No,No
Honduras,Yes,Yes,Yes
Hungary,Yes,Yes,Yes
Iceland,Yes,Yes,Answer/report not provided
India,No,No,Yes
Iran (Islamic Republic of),Yes,Yes,Answer/report not provided
Iraq,Yes,No,Answer/report not provided
Ireland,Yes,Yes,Yes
Israel,Answer/report not provided,Yes,Answer/report not provided
Italy,Yes,Yes,Answer/report not provided
Jamaica,Yes,Answer/report not provided,Answer/report not provided
Japan,Yes,Yes,Yes
Jordan,Yes,Yes,Yes
Kazakhstan,No,No,Answer/report not provided
Kenya,Yes,Answer/report not provided,Yes
Kiribati,Yes,Answer/report not provided,Answer/report not provided
Kuwait,No,No,No
Kyrgyzstan,Yes,Yes,Answer/report not provided
Lao People's Democratic Republic,Yes,Yes,Answer/report not provided
Latvia,Yes,Yes,Yes
Lebanon,No,Yes,Yes
Lesotho,No,Answer/report not provided,No
Libyan Arab Jamahiriya,Yes,Yes,Answer/report not provided
Lithuania,Yes,Yes,Yes
Luxembourg,Yes,Answer/report not provided,Answer/report not provided
Madagascar,Yes,Yes,Yes
Malaysia,Yes,Yes,Yes
Maldives,No,Answer/report not provided,Answer/report not provided
Mali,Yes,Yes,Answer/report not provided
Malta,Yes,Yes,Yes
Marshall Islands,No,Yes,No
Mauritania,No,No,Answer/report not provided
Mauritius,Yes,Yes,Yes
Mexico,Answer/report not provided,Yes,Yes
Micronesia (Federated States of),No,No,Answer/report not provided
Mongolia,No,Yes,Yes
Montenegro,Yes,Yes,Yes
Myanmar,No,Answer/report not provided,Answer/report not provided
Namibia,Answer/report not provided,Yes,Yes
Nauru,Answer/report not provided,Answer/report not provided,Answer/report not provided
Nepal,Yes,Yes,Answer/report not provided
Netherlands,Yes,Yes,Yes
New Zealand,No,Yes,Yes
Niger,Answer/report not provided,Yes,Answer/report not provided
Nigeria,Yes,Answer/report not provided,Answer/report not provided
Niue,No,Answer/report not provided,No
Norway,No,No,No
Oman,Yes,No,No
Pakistan,No,No,Answer/report not provided
Palau,No,No,No
Panama,Yes,Yes,Yes
Papua New Guinea,No,Answer/report not provided,Answer/report not provided
Paraguay,No,No,Answer/report not provided
Peru,Yes,Yes,Answer/report not provided
Philippines,Yes,No,Answer/report not provided
Poland,Yes,Yes,Answer/report not provided
Portugal,Yes,Yes,Yes
Qatar,Yes,No,Answer/report not provided
Republic of Korea,No,No,No
Republic of Moldova,Yes,Yes,Answer/report not provided
Romania,Yes,Answer/report not provided,Answer/report not provided
Russian Federation,No,Yes,Answer/report not provided
Rwanda,Answer/report not provided,No,Answer/report not provided
Saint Kitts and Nevis,Answer/report not provided,No,Answer/report not provided
Saint Lucia,Answer/report not provided,No,Answer/report not provided
Saint Vincent and the Grenadines,Answer/report not provided,No,Answer/report not provided
Samoa,Answer/report not provided,Answer/report not provided,Answer/report not provided
San Marino,No,No,No
Sao Tome and Principe,No,No,Answer/report not provided
Saudi Arabia,No,Yes,Answer/report not provided
Senegal,Yes,No,Answer/report not provided
Serbia,Yes,Yes,Yes
Seychelles,Yes,Yes,Yes
Sierra Leone,No,No,Answer/report not provided
Singapore,No,Yes,Yes
Slovakia,Yes,Yes,Yes
Slovenia,Yes,Yes,Yes
Solomon Islands,Yes,Yes,Yes
South Africa,No,Yes,Yes
Spain,Answer/report not provided,Yes,Yes
Sri Lanka,Answer/report not provided,No,Answer/report not provided
Sudan,Answer/report not provided,No,Answer/report not provided
Suriname,Yes,Yes,Answer/report not provided
Swaziland,Answer/report not provided,Yes,Answer/report not provided
Sweden,No,No,No
Syrian Arab Republic,Answer/report not provided,Answer/report not provided,Yes
Tajikistan,Yes,Answer/report not provided,Answer/report not provided
Thailand,Yes,Yes,Yes
The former Yugoslav Republic of Macedonia,Yes,Answer/report not provided,Answer/report not provided
Timor-Leste,Answer/report not provided,Answer/report not provided,Answer/report not provided
Togo,Yes,Yes,Yes
Tonga,Yes,Yes,Yes
Trinidad and Tobago,Yes,Yes,No
Tunisia,Yes,Yes,Answer/report not provided
Turkey,Yes,Yes,Yes
Turkmenistan,No,Answer/report not provided,Answer/report not provided
Tuvalu,No,No,Answer/report not provided
Uganda,No,Yes,Answer/report not provided
Ukraine,Yes,Yes,Yes
United Arab Emirates,Yes,Yes,Answer/report not provided
United Kingdom,Yes,Yes,Yes
United Republic of Tanzania,No,No,Answer/report not provided
Uruguay,No,No,No
Uzbekistan,Yes,Answer/report not provided,Answer/report not provided
Vanuatu,No,Yes,Answer/report not provided
Venezuela,Yes,Yes,Answer/report not provided
Viet Nam,Yes,Yes,Yes
Yemen,Yes,Yes,Answer/report not provided
