Party,2014,2012,2010
Afghanistan,No,No,Answer/report not provided
Albania,No,Yes,Answer/report not provided
Algeria,Yes,No,Yes
Antigua and Barbuda,Answer/report not provided,Answer/report not provided,Answer/report not provided
Armenia,No,Answer/report not provided,Answer/report not provided
Australia,No,Answer/report not provided,Yes
Austria,Yes,Yes,Answer/report not provided
Azerbaijan,No,No,No
Bahamas,Yes,No,Answer/report not provided
Bahrain (Kingdom of),No,No,Answer/report not provided
Bangladesh,No,No,No
Barbados,Yes,Yes,Answer/report not provided
Belarus,No,Yes,Yes
Belgium,Yes,Yes,Yes
Belize,Yes,Answer/report not provided,Answer/report not provided
Benin,No,No,Answer/report not provided
Bhutan,No,Answer/report not provided,Answer/report not provided
Bolivia,Answer/report not provided,Yes,Answer/report not provided
Bosnia and Herzegovina,Yes,Yes,Answer/report not provided
Botswana,Answer/report not provided,Yes,Answer/report not provided
Brazil,Yes,Yes,Yes
Brunei Darussalam,No,No,Answer/report not provided
Bulgaria,Yes,Yes,Yes
Burkina Faso,No,No,Answer/report not provided
Burundi,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cambodia,No,No,No
Cameroon,No,Answer/report not provided,Answer/report not provided
Canada,Yes,Yes,Yes
Central African Republic,Answer/report not provided,Answer/report not provided,Answer/report not provided
Chad,Answer/report not provided,No,Answer/report not provided
Chile,Yes,Yes,Answer/report not provided
China,Yes,Yes,Yes
Colombia,Yes,Yes,Answer/report not provided
Comoros,Answer/report not provided,Yes,Yes
Congo,Yes,No,Answer/report not provided
Cook Islands,No,No,Yes
Costa Rica,Yes,No,Answer/report not provided
Côte d'Ivoire,Yes,Yes,Answer/report not provided
Croatia,Yes,Answer/report not provided,Answer/report not provided
Cyprus,Yes,Yes,Yes
Czech Republic,Yes,Answer/report not provided,Answer/report not provided
Democratic People's Republic of Korea,Answer/report not provided,Answer/report not provided,Answer/report not provided
Democratic Republic of the Congo,Answer/report not provided,Answer/report not provided,Answer/report not provided
Denmark,Yes,Yes,Yes
Djibouti,Answer/report not provided,Yes,Answer/report not provided
Ecuador,Yes,Yes,Answer/report not provided
Egypt,Yes,Yes,Yes
El Salvador,Yes,Answer/report not provided,Answer/report not provided
Estonia,Yes,Yes,Answer/report not provided
European Union,Yes,Yes,Yes
Fiji,Yes,Yes,Answer/report not provided
Finland,Yes,Answer/report not provided,Yes
France,Yes,Yes,Yes
Gabon,Yes,Yes,Answer/report not provided
Gambia,Yes,No,Answer/report not provided
Georgia,No,No,Answer/report not provided
Germany,Yes,Yes,Yes
Ghana,No,Answer/report not provided,No
Greece,Yes,Yes,Answer/report not provided
Grenada,Yes,Answer/report not provided,Answer/report not provided
Guatemala,Yes,Yes,Answer/report not provided
Guyana,Answer/report not provided,Yes,Yes
Honduras,Yes,Answer/report not provided,Answer/report not provided
Hungary,Yes,Yes,Yes
Iceland,No,No,Answer/report not provided
India,No,Yes,Yes
Iran (Islamic Republic of),No,Yes,Answer/report not provided
Iraq,No,Answer/report not provided,Answer/report not provided
Ireland,Yes,Yes,Yes
Israel,Answer/report not provided,Yes,Answer/report not provided
Italy,Yes,Yes,Answer/report not provided
Jamaica,Yes,Answer/report not provided,Answer/report not provided
Japan,No,No,Answer/report not provided
Jordan,Answer/report not provided,No,Yes
Kazakhstan,No,Answer/report not provided,Answer/report not provided
Kenya,Yes,Answer/report not provided,No
Kiribati,Yes,Answer/report not provided,Answer/report not provided
Kuwait,No,No,No
Kyrgyzstan,Yes,Yes,Answer/report not provided
Lao People's Democratic Republic,Yes,No,Answer/report not provided
Latvia,Yes,Yes,Yes
Lebanon,Yes,Yes,Yes
Lesotho,Answer/report not provided,Yes,Yes
Libyan Arab Jamahiriya,No,No,Answer/report not provided
Lithuania,Answer/report not provided,Yes,Yes
Luxembourg,Yes,Yes,Yes
Madagascar,Yes,Yes,Yes
Malaysia,Yes,Yes,Yes
Maldives,Yes,Answer/report not provided,Answer/report not provided
Mali,No,No,Answer/report not provided
Malta,Yes,Yes,Yes
Marshall Islands,No,Yes,Yes
Mauritania,Answer/report not provided,Answer/report not provided,Answer/report not provided
Mauritius,Answer/report not provided,Answer/report not provided,No
Mexico,Yes,Yes,Yes
