Party,2014,2012,2010
Afghanistan,The law we have stipulated and in the last stage of the approval indicated this law is establish based on the inspection program of the WHO to obey and respect the relevant conventions of the WHO,Answer/report not provided,Answer/report not provided
Albania,Answer/report not provided,Answer/report not provided,Answer/report not provided
Algeria,Answer/report not provided,Answer/report not provided,Answer/report not provided
Antigua and Barbuda,Answer/report not provided,Answer/report not provided,Answer/report not provided
Armenia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Australia,Answer/report not provided,Nicotine replacement therapy products are available at most pharmacies or supermarkets with or without a doctors prescription.,Answer/report not provided
Austria,Answer/report not provided,These products can solely be purchased in pharmacies.,Answer/report not provided
Azerbaijan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bahamas,National Prescription Drug Plan provides some products free of charge to eligible patients,Public and private clinics and pharmacies,Answer/report not provided
Bahrain (Kingdom of),Some products such as patches and gums are available in smoking cessation clinics free of charge or can be bought over the counter from the pharmacy other products can be obtained by doctor prescription and are available in most pharmacies in Bahrain,private pharmacies specilazed clinics offered free in ministry of health primarh health care,Answer/report not provided
Bangladesh,Answer/report not provided,Answer/report not provided,Answer/report not provided
Barbados,Answer/report not provided,Products are purchased from pharmacies Private Sector only.,Answer/report not provided
Belarus,In the pharmacy network,Answer/report not provided,Answer/report not provided
Belgium,Pharmacies avec ou sans (en fonction du produit) une ordonnance délivrées par un médecin,Answer/report not provided,Answer/report not provided
Belize,Answer/report not provided,Answer/report not provided,Answer/report not provided
Benin,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bhutan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bolivia,Answer/report not provided,De venta libre en las farmacias,Answer/report not provided
Bosnia and Herzegovina,In line with health professionals advice these products could be bought in public and private pharmacies paid directly by patients and not covered by public funding (health insurance funds) or reimbursement.,In line with health professionals advice these products could be bought in public and private pharmacies paid directly by patients and not covered by public funding (health insurance funds) or reimbursement.,Answer/report not provided
Botswana,Answer/report not provided,Licensed pharmacies,Answer/report not provided
Brazil,In public health care system. these products are prescribed and distributed at health care unit that offer treatment to smoking cessation. They can be bought in pharmacies over the counter. in the case of nicotine replacement therapy or with medical prescription. for bupropion and varenicline.,In pharmacies and over the counter always recommended by the doctors involved in the treatment,In pharmacies and over the counter always recommended by the doctors involved in the treatment
Brunei Darussalam,Products can be obtained free-of-charge at designated government clinics (for citizens only) products can also be obtained from private GPs and selected pharmacies. Smoking cessation service is also being developed for secondary and tertiary health care.,Products can be obtained free-of-charge at designated government clinics (for citizens only) products can also be obtained from private GPs and selected pharmacies.,Answer/report not provided
Bulgaria,Pharmaceutical products for the treatment of tobacco dependence can be purchased legally in pharmacies. Many of the chain pharmacies offer to their customers advices to quitting tobacco dependence.,These products can be purchased in both places - pharmacies and drugstores.,Answer/report not provided
Burkina Faso,Ces médicaments sont disponibles mais en ventes à leur coût normal (sans subvention ni gratuité.. . .) dans certaines officines pharmaceutiques des grandes villes du pays (Ouagadougou et Bobo-Dioulasso. Le prescripteur délivre une ordonnance au client qui va les acheter. Parfois le prescripteur peut être amené à exprimer le besoin au pharmacien en vue de leur commande à l’extérieur.,Answer/report not provided,Answer/report not provided
Burundi,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cambodia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cameroon,Answer/report not provided,Answer/report not provided,Answer/report not provided
Canada,Answer/report not provided,Pharmacy,Answer/report not provided
Central African Republic,Answer/report not provided,Answer/report not provided,Answer/report not provided
Chad,Answer/report not provided,Dans les pharmacies privées.,Answer/report not provided
Chile,Los productos pueden ser adquiridos en farmacias y establecimientos privados y en consultorios de la salud pública asociados al tratamiento de otras enfermedades..,En farmacias y establecimientos privados. En consultorios de la salud pública.,Answer/report not provided
China,Hospitals and pharmacies in some cities in China with sales of smoking cessation drug veranicline is a prescription drug and should be obtained with a medical prescription but bupropion is a non-prescription drugs and can be acquired in hospitals and pharmacies.,Answer/report not provided,Answer/report not provided
Colombia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Comoros,Answer/report not provided,Answer/report not provided,Answer/report not provided
