Party,2014,2012,2010
Afghanistan,Answer/report not provided,yes in tobacco contol intersectoral Committee the issue of assistance for this unit araised and WHO office requested for support,Answer/report not provided
Albania,Answer/report not provided,Answer/report not provided,Answer/report not provided
Algeria,Answer/report not provided,Answer/report not provided,Answer/report not provided
Antigua and Barbuda,Answer/report not provided,Answer/report not provided,Answer/report not provided
Armenia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Australia,Australia has actively promoted implementation of the Convention as a key public health priority for relevant regional and international intergovernmental organisations. including the United Nations General Assembly and the Commonwealth. As part of World No Tobacco Day 2013. further extrabudgetary contributions to the Convention Secretariat were provided by Australia.,Australia has actively promoted implementation of the Convention as a key public health priority for relevant regional and international intergovernmental organisations including the United Nations General Assembly and the Commonwealth. In 2011 targeted extrabudgetary contributions to the Convention Secretariat were announced by Australia at the United Nations High Level Meeting on Non-communicable Diseases and the Commonwealth Heads of Government Meeting.,Answer/report not provided
Austria,Answer/report not provided,Answer/report not provided,Answer/report not provided
Azerbaijan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bahamas,Answer/report not provided,Conversations held with PAHO regarding assistance,Answer/report not provided
Bahrain (Kingdom of),Answer/report not provided,Answer/report not provided,Answer/report not provided
Bangladesh,Answer/report not provided,Answer/report not provided,Answer/report not provided
Barbados,Answer/report not provided,Answer/report not provided,Answer/report not provided
Belarus,Answer/report not provided,Answer/report not provided,Answer/report not provided
Belgium,Answer/report not provided,Answer/report not provided,Answer/report not provided
Belize,Answer/report not provided,Answer/report not provided,Answer/report not provided
Benin,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bhutan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bolivia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bosnia and Herzegovina,Answer/report not provided,Answer/report not provided,Answer/report not provided
Botswana,Answer/report not provided,The FCTC was explained to all stakeholders and interested parties and requested for financial assistance to facilitate its implementation.,Answer/report not provided
Brazil,Answer/report not provided,We support government representatives of developing countries to participate in some political and technical events such as Uruguay participating on the health warning workshop in October 2010 in Rio de Janeiro. We also assist some countries in meeting theirs FCTC obligations - we participated in the El Salvador Pneumology Congress presenting our experience implementing health warnings and smoke free policies.,We support government representatives of developing countries to participate in some political and technical events such as Uruguay participating on the health warning workshop in October 2010 in Rio de Janeiro. We also assist some countries in meeting theirs FCTC obligations - we participated in the El Salvador Pneumology Congress presenting our experience implementing health warnings and smoke free policies.
Brunei Darussalam,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bulgaria,Answer/report not provided,Answer/report not provided,Answer/report not provided
Burkina Faso,Answer/report not provided,Answer/report not provided,Answer/report not provided
Burundi,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cambodia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cameroon,Answer/report not provided,Answer/report not provided,Answer/report not provided
Canada,Answer/report not provided,Please refer to Annex G for a list of funded activities.,Please refer to Annex 6 for a list of funded activities.
Central African Republic,Answer/report not provided,Answer/report not provided,Answer/report not provided
Chad,Answer/report not provided,Answer/report not provided,Answer/report not provided
Chile,Answer/report not provided,Answer/report not provided,Answer/report not provided
China,As a party my country actively participates in activities organized by the WHO including the active participations in the Conference of the parties meetings of the intergovernmental negotiating body; share the responsibilities and obligations of the parties the timely payment of contributions.,Answer/report not provided,Answer/report not provided
Colombia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Comoros,Answer/report not provided,Answer/report not provided,Answer/report not provided
Congo,Answer/report not provided,Par le payement de notre contribution,Answer/report not provided
Cook Islands,Cook Islands is one of the key facilitators for the working group for the issue – Sustainable measures in implementing WHO FCTC and have contributed in the discussions during the two meetings held in Geneva – ''sharing of experiences about the WHO Needs Assessments implementation'',CDC WHO SPC but sourcing funds from other International institutions has been difficult due to criterias of being legible for funding.,Answer/report not provided
Costa Rica,"Oficio COR-PWR-53 19524-13 Donde el Dr. Prosperi indica que para cumplir con los compromisos acordados y llevar a cabo la cooperación técnica la OPS se organizara en 2 grandes proyectos. a saber: Proyecto 1: Sistemas y Servicios de Salud para atención con calidad a las personas a lo largo del curso de vida. Responsable Hernán Luque y Proyecto 2: Contro de enfermedades. manejo de riesgo y atención a las determinantes de la salud. Responsable Franklin Hernández.
Mas el apoyo eventual . p ero no permanente. siempre que existan recursos extrapresupuestarios. de las asesorías corta que hagan falta",Lamentablemente Costa Rica no es un país que reciba apoyo financiero para participar en eventos del CMCT incluida la COP. Eso limita el acceso a la información y el apoyo internacional del país a las avances del CMCT.,Answer/report not provided
Côte d'Ivoire,Answer/report not provided,Answer/report not provided,Answer/report not provided
Croatia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cyprus,Answer/report not provided,Answer/report not provided,Answer/report not provided
Czech Republic,Answer/report not provided,Answer/report not provided,Answer/report not provided
Democratic People's Republic of Korea,Answer/report not provided,Answer/report not provided,Answer/report not provided
Democratic Republic of the Congo,Answer/report not provided,Answer/report not provided,Answer/report not provided
Denmark,Answer/report not provided,Answer/report not provided,Answer/report not provided
Djibouti,Answer/report not provided,Answer/report not provided,Answer/report not provided
Ecuador,Answer/report not provided,Answer/report not provided,Answer/report not provided
Egypt,Answer/report not provided,Answer/report not provided,Answer/report not provided
El Salvador,"El MINSAL ha recibido asesoría técnica de Cuba para mejorar los sistemas de captación de la información de las atenciones provistas por el sistema público de salud. incluyendo un módulo de vigilancia epidemiológica
La OPS ha financiado la participación de varios funcionarios públicos de salud en seminarios (RESCAD. protocolo de comercio ilícito del Tabaco. y Convenio Marco) para fortalecer los conocimientos de estos funcionarios en materia de legislación nacional.",Answer/report not provided,Answer/report not provided
Estonia,Answer/report not provided,Answer/report not provided,Answer/report not provided
European Union,"A EU grant has been provided to the FCTC Secretariat to support and enhance implementation of the FCTC. This will be complementary to FCTC core budget. The total cost is EUR 7.5 million whereas the EU contribution is 5.2 million (70%). The period is from 31/12/2011 – 30/12/2014.
• Main activities:
• Needs assessments in 30 states party to FCTC
• Regional knowledge and capacity building hubs for FCTC implementation
• Development of web-based portal to facilitate information sharing analysis and reporting on progress in FCTC implementation.","A new initiative has recently been launched to enhance implementation of the FCTC. This will be complementary to FCTC core budget. The total cost is EUR 7.5 million whereas the EU contribution is 5.2 million (70%). The period is from 31/12/2011 - 30/12/2014.
o Main activities:
o Needs assessments in 30 states party to FCTC
o Regional knowledge and capacitybuilding hubs for FCTC implementation
o Development of web-based portal to facilitate information sharing analysis and reporting on progress in FCTC implementation.",The EU Commission is in contact with the Convention Secretariat to look into possibilities to increase the capacity to respond to requests for need assessments and the necessary technical assistance.
Fiji,Answer/report not provided,Answer/report not provided,Answer/report not provided
Finland,Answer/report not provided,Answer/report not provided,Answer/report not provided
France,Answer/report not provided,Answer/report not provided,Answer/report not provided
