Party,2014,2012,2010
Afghanistan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Albania,None,None,Answer/report not provided
Algeria,None,None,Partially
Antigua and Barbuda,Answer/report not provided,Answer/report not provided,Answer/report not provided
Armenia,None,None,None
Australia,Partially,Partially,Partially
Austria,Partially,Partially,Answer/report not provided
Azerbaijan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bahamas,Full,Partially,Answer/report not provided
Bahrain (Kingdom of),Partially,Partially,Answer/report not provided
Bangladesh,Answer/report not provided,None,Answer/report not provided
Barbados,None,None,Answer/report not provided
Belarus,Answer/report not provided,None,Answer/report not provided
Belgium,Partially,Partially,Partially
Belize,Answer/report not provided,Answer/report not provided,Answer/report not provided
Benin,None,None,None
Bhutan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bolivia,Answer/report not provided,None,Answer/report not provided
Bosnia and Herzegovina,Full,Partially,Answer/report not provided
Botswana,Answer/report not provided,None,Answer/report not provided
Brazil,Full,Full,Full
Brunei Darussalam,None,None,Answer/report not provided
Bulgaria,None,Partially,Partially
Burkina Faso,None,None,Answer/report not provided
Burundi,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cambodia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cameroon,None,Answer/report not provided,Answer/report not provided
Canada,Answer/report not provided,Answer/report not provided,Answer/report not provided
Central African Republic,Answer/report not provided,None,Answer/report not provided
Chad,Answer/report not provided,Partially,Answer/report not provided
Chile,Answer/report not provided,Answer/report not provided,Answer/report not provided
China,Partially,Answer/report not provided,Answer/report not provided
Colombia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Comoros,Answer/report not provided,Answer/report not provided,Answer/report not provided
Congo,None,None,Answer/report not provided
Cook Islands,Full,None,Partially
Costa Rica,Full,Partially,Answer/report not provided
Côte d'Ivoire,None,Answer/report not provided,Answer/report not provided
Croatia,Full,Answer/report not provided,Answer/report not provided
Cyprus,Full,Full,Full
Czech Republic,None,Answer/report not provided,Answer/report not provided
Democratic People's Republic of Korea,Full,Full,Answer/report not provided
Democratic Republic of the Congo,Answer/report not provided,Answer/report not provided,Answer/report not provided
Denmark,Full,Full,Full
Djibouti,Answer/report not provided,Answer/report not provided,Answer/report not provided
Ecuador,None,Answer/report not provided,Answer/report not provided
Egypt,None,Answer/report not provided,None
El Salvador,Partially,Answer/report not provided,Answer/report not provided
Estonia,Answer/report not provided,Answer/report not provided,Answer/report not provided
European Union,Answer/report not provided,Answer/report not provided,Answer/report not provided
Fiji,None,Partially,Answer/report not provided
Finland,Partially,Partially,Partially
France,Partially,Partially,Partially
Gabon,Answer/report not provided,Answer/report not provided,Answer/report not provided
Gambia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Georgia,None,Answer/report not provided,Answer/report not provided
Germany,Partially,Partially,Partially
Ghana,Partially,None,None
Greece,Partially,Partially,Answer/report not provided
Grenada,Answer/report not provided,Answer/report not provided,Answer/report not provided
Guatemala,Partially,Partially,Answer/report not provided
Guyana,Answer/report not provided,Full,Full
Honduras,Full,Full,Full
Hungary,Partially,Partially,Partially
Iceland,Answer/report not provided,Answer/report not provided,Answer/report not provided
India,Full,Full,Full
Iran (Islamic Republic of),Answer/report not provided,Partially,Answer/report not provided
Iraq,Partially,Answer/report not provided,Answer/report not provided
Ireland,Full,Full,Full
Israel,Answer/report not provided,Full,Answer/report not provided
Italy,None,Answer/report not provided,Answer/report not provided
Jamaica,Full,Answer/report not provided,Answer/report not provided
Japan,Partially,Partially,Partially
Jordan,None,None,None
Kazakhstan,None,None,Answer/report not provided
Kenya,Partially,Answer/report not provided,Partially
Kiribati,Partially,Answer/report not provided,Answer/report not provided
Kuwait,Partially,None,None
Kyrgyzstan,Partially,Partially,Answer/report not provided
Lao People's Democratic Republic,Answer/report not provided,Answer/report not provided,Answer/report not provided
Latvia,Partially,Partially,Partially
Lebanon,None,Answer/report not provided,Answer/report not provided
Lesotho,None,Answer/report not provided,Answer/report not provided
Libyan Arab Jamahiriya,None,None,Answer/report not provided
Lithuania,Partially,Partially,Partially
Luxembourg,Partially,Partially,Partially
Madagascar,Answer/report not provided,Answer/report not provided,Answer/report not provided
Malaysia,Full,Partially,Partially
Maldives,Answer/report not provided,Answer/report not provided,Answer/report not provided
Mali,Answer/report not provided,Answer/report not provided,Answer/report not provided
Malta,Partially,Full,Full
Marshall Islands,Answer/report not provided,Partially,None
Mauritania,Answer/report not provided,Answer/report not provided,Answer/report not provided
Mauritius,None,None,Answer/report not provided
Mexico,Full,None,None
Micronesia (Federated States of),None,None,Answer/report not provided
Mongolia,Answer/report not provided,Partially,Partially
Montenegro,None,None,None
Myanmar,Partially,Answer/report not provided,Answer/report not provided
Namibia,Answer/report not provided,None,None
Nauru,Answer/report not provided,Answer/report not provided,Answer/report not provided
Nepal,Answer/report not provided,Answer/report not provided,Answer/report not provided
Netherlands,Full,Full,Full
New Zealand,Full,Full,Full
Niger,Answer/report not provided,Answer/report not provided,Answer/report not provided
Nigeria,Partially,Answer/report not provided,Answer/report not provided
Niue,Answer/report not provided,Answer/report not provided,Answer/report not provided
Norway,Full,None,Answer/report not provided
Oman,None,None,Answer/report not provided
Pakistan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Palau,Full,Partially,Answer/report not provided
Panama,Full,Partially,Partially
Papua New Guinea,None,Answer/report not provided,Answer/report not provided
Paraguay,Full,Full,Answer/report not provided
Peru,None,Answer/report not provided,Answer/report not provided
Philippines,Answer/report not provided,None,Answer/report not provided
Poland,None,None,Answer/report not provided
Portugal,Full,Full,Full
Qatar,Answer/report not provided,Full,Full
Republic of Korea,None,None,None
Republic of Moldova,None,Answer/report not provided,Answer/report not provided
Romania,None,Answer/report not provided,Answer/report not provided
Russian Federation,None,None,Answer/report not provided
Rwanda,Answer/report not provided,Answer/report not provided,Answer/report not provided
Saint Kitts and Nevis,Answer/report not provided,Answer/report not provided,Answer/report not provided
Saint Lucia,Answer/report not provided,None,Answer/report not provided
Saint Vincent and the Grenadines,Answer/report not provided,Answer/report not provided,Answer/report not provided
Samoa,Answer/report not provided,Answer/report not provided,Answer/report not provided
San Marino,Partially,Answer/report not provided,Answer/report not provided
Sao Tome and Principe,Partially,Answer/report not provided,Answer/report not provided
Saudi Arabia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Senegal,Answer/report not provided,Answer/report not provided,Answer/report not provided
Serbia,Full,Full,Full
Seychelles,None,None,None
Sierra Leone,Answer/report not provided,Answer/report not provided,Answer/report not provided
Singapore,Partially,Partially,Partially
Slovakia,None,None,None
Slovenia,None,None,None
Solomon Islands,None,Answer/report not provided,Answer/report not provided
South Africa,None,Answer/report not provided,Answer/report not provided
Spain,Full,Partially,Full
Sri Lanka,Answer/report not provided,Answer/report not provided,Answer/report not provided
Sudan,Answer/report not provided,None,Answer/report not provided
Suriname,None,None,Answer/report not provided
Swaziland,Answer/report not provided,None,Answer/report not provided
Sweden,Partially,Partially,Partially
Syrian Arab Republic,Answer/report not provided,Answer/report not provided,Answer/report not provided
Tajikistan,None,Answer/report not provided,Answer/report not provided
Thailand,Full,Full,Full
The former Yugoslav Republic of Macedonia,None,Answer/report not provided,Answer/report not provided
Timor-Leste,Answer/report not provided,Answer/report not provided,Answer/report not provided
Togo,None,Answer/report not provided,None
Tonga,Full,Answer/report not provided,Answer/report not provided
Trinidad and Tobago,Full,Answer/report not provided,Answer/report not provided
Tunisia,Partially,Partially,Answer/report not provided
Turkey,Full,Full,Full
Turkmenistan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Tuvalu,Full,None,Answer/report not provided
Uganda,Answer/report not provided,Full,Answer/report not provided
Ukraine,None,Answer/report not provided,Answer/report not provided
United Arab Emirates,Partially,Partially,Answer/report not provided
United Kingdom,Full,Full,Full
United Republic of Tanzania,Partially,Answer/report not provided,Answer/report not provided
Uruguay,Full,Full,Full
Uzbekistan,Partially,Answer/report not provided,Answer/report not provided
Vanuatu,None,Answer/report not provided,Answer/report not provided
Venezuela,Full,Full,Answer/report not provided
Viet Nam,Answer/report not provided,Answer/report not provided,Answer/report not provided
Yemen,Answer/report not provided,Answer/report not provided,Answer/report not provided
