Party,2014,2012,2010
Afghanistan,Answer/report not provided,No,Answer/report not provided
Albania,No,No,Answer/report not provided
Algeria,Yes,Yes,Yes
Antigua and Barbuda,No,No,Answer/report not provided
Armenia,No,No,No
Australia,Yes,Yes,Yes
Austria,Yes,Yes,Answer/report not provided
Azerbaijan,No,No,No
Bahamas,No,No,Answer/report not provided
Bahrain (Kingdom of),Yes,Yes,Answer/report not provided
Bangladesh,No,No,No
Barbados,No,No,Answer/report not provided
Belarus,Yes,Yes,Yes
Belgium,No,No,No
Belize,Yes,Answer/report not provided,Answer/report not provided
Benin,No,No,No
Bhutan,Yes,Yes,Yes
Bolivia,Answer/report not provided,No,Answer/report not provided
Bosnia and Herzegovina,Yes,Yes,Answer/report not provided
Botswana,Answer/report not provided,Yes,Answer/report not provided
Brazil,Yes,Yes,Yes
Brunei Darussalam,No,No,Answer/report not provided
Bulgaria,Yes,Yes,Yes
Burkina Faso,No,No,Answer/report not provided
Burundi,Answer/report not provided,No,Answer/report not provided
Cambodia,No,No,No
Cameroon,No,Answer/report not provided,Answer/report not provided
Canada,Yes,Yes,Yes
Central African Republic,Answer/report not provided,No,Answer/report not provided
Chad,Answer/report not provided,Yes,Answer/report not provided
Chile,No,No,Answer/report not provided
China,Yes,Yes,Yes
Colombia,Yes,Yes,Answer/report not provided
Comoros,Answer/report not provided,No,No
Congo,No,No,Answer/report not provided
Cook Islands,Yes,No,No
Costa Rica,Yes,Yes,Answer/report not provided
Côte d'Ivoire,No,No,Answer/report not provided
Croatia,No,Answer/report not provided,Answer/report not provided
Cyprus,Yes,Yes,Yes
Czech Republic,No,Answer/report not provided,Answer/report not provided
Democratic People's Republic of Korea,Yes,No,Answer/report not provided
Democratic Republic of the Congo,Answer/report not provided,Answer/report not provided,Answer/report not provided
Denmark,Yes,Yes,No
Djibouti,Yes,Yes,Answer/report not provided
Ecuador,No,No,Answer/report not provided
Egypt,No,No,No
El Salvador,No,Answer/report not provided,Answer/report not provided
Estonia,Yes,Yes,Answer/report not provided
European Union,Yes,Yes,Yes
Fiji,Yes,Yes,Answer/report not provided
Finland,No,No,No
France,Answer/report not provided,Yes,Yes
Gabon,Yes,Yes,Answer/report not provided
Gambia,Yes,No,Answer/report not provided
Georgia,No,No,Answer/report not provided
Germany,No,No,No
Ghana,Yes,Yes,Yes
Greece,Yes,Yes,Answer/report not provided
Grenada,No,Answer/report not provided,Answer/report not provided
Guatemala,No,No,Answer/report not provided
Guyana,Answer/report not provided,No,No
Honduras,Yes,No,No
Hungary,Yes,Yes,Yes
Iceland,No,No,Answer/report not provided
India,Yes,Yes,Yes
Iran (Islamic Republic of),Yes,Yes,Answer/report not provided
Iraq,No,No,Answer/report not provided
Ireland,Yes,Yes,Yes
Israel,Answer/report not provided,Yes,Answer/report not provided
Italy,Yes,Yes,Answer/report not provided
Jamaica,Yes,Answer/report not provided,Answer/report not provided
Japan,Yes,Yes,Yes
Jordan,Yes,Yes,Yes
Kazakhstan,No,No,Answer/report not provided
Kenya,Yes,Answer/report not provided,Yes
Kiribati,Yes,Answer/report not provided,Answer/report not provided
Kuwait,Yes,Yes,Yes
Kyrgyzstan,Yes,Yes,Answer/report not provided
Lao People's Democratic Republic,No,Answer/report not provided,Answer/report not provided
Latvia,Yes,Yes,Yes
Lebanon,No,No,No
Lesotho,No,Answer/report not provided,No
Libyan Arab Jamahiriya,No,No,Answer/report not provided
Lithuania,Yes,Yes,Yes
Luxembourg,No,Answer/report not provided,Answer/report not provided
Madagascar,No,No,No
Malaysia,Yes,Yes,No
Maldives,No,Answer/report not provided,Answer/report not provided
Mali,No,No,Answer/report not provided
Malta,Yes,Yes,Yes
Marshall Islands,Yes,Yes,Yes
Mauritania,Yes,Yes,Answer/report not provided
Mauritius,Yes,Yes,Yes
Mexico,Answer/report not provided,Yes,Yes
Micronesia (Federated States of),No,No,Answer/report not provided
Mongolia,No,Yes,Yes
Montenegro,Yes,Yes,Yes
Myanmar,No,Answer/report not provided,Answer/report not provided
Namibia,Answer/report not provided,Yes,Yes
