Party,2014,2012,2010
Afghanistan,Answer/report not provided,No,Answer/report not provided
Albania,Yes,Yes,Answer/report not provided
Algeria,Yes,Yes,Yes
Antigua and Barbuda,No,No,Answer/report not provided
Armenia,Yes,Yes,Yes
Australia,Yes,Yes,Yes
Austria,Yes,Yes,Answer/report not provided
Azerbaijan,No,No,No
Bahamas,Yes,Yes,Answer/report not provided
Bahrain (Kingdom of),Yes,Yes,Answer/report not provided
Bangladesh,Yes,Yes,No
Barbados,Yes,Yes,Answer/report not provided
Belarus,Yes,Yes,Yes
Belgium,Yes,Yes,Yes
Belize,No,Answer/report not provided,Answer/report not provided
Benin,Yes,Yes,Yes
Bhutan,No,No,Answer/report not provided
Bolivia,Answer/report not provided,Yes,Answer/report not provided
Bosnia and Herzegovina,Yes,Yes,Answer/report not provided
Botswana,Answer/report not provided,Yes,Answer/report not provided
Brazil,Yes,Yes,Yes
Brunei Darussalam,Yes,Yes,Answer/report not provided
Bulgaria,Yes,Yes,Yes
Burkina Faso,Yes,Yes,Answer/report not provided
Burundi,Answer/report not provided,No,Answer/report not provided
Cambodia,Yes,No,No
Cameroon,No,Answer/report not provided,Answer/report not provided
Canada,Yes,Yes,Yes
Central African Republic,Answer/report not provided,No,Answer/report not provided
Chad,Answer/report not provided,Yes,Answer/report not provided
Chile,No,No,Answer/report not provided
China,Yes,No,No
Colombia,No,No,Answer/report not provided
Comoros,Answer/report not provided,No,No
Congo,Yes,Yes,Answer/report not provided
Cook Islands,Yes,No,Yes
Costa Rica,Yes,Yes,Answer/report not provided
Côte d'Ivoire,Yes,No,Answer/report not provided
Croatia,Yes,Answer/report not provided,Answer/report not provided
Cyprus,Yes,Yes,Yes
Czech Republic,Yes,Answer/report not provided,Answer/report not provided
Democratic People's Republic of Korea,Yes,Yes,Answer/report not provided
Democratic Republic of the Congo,Answer/report not provided,Answer/report not provided,Answer/report not provided
Denmark,Yes,Yes,Yes
Djibouti,No,No,Answer/report not provided
Ecuador,Yes,No,Answer/report not provided
Egypt,Yes,No,Yes
El Salvador,No,Answer/report not provided,Answer/report not provided
Estonia,Yes,Yes,Answer/report not provided
European Union,No,No,No
Fiji,Yes,Yes,Answer/report not provided
Finland,Yes,Yes,Yes
France,Yes,Yes,Yes
Gabon,No,No,Answer/report not provided
Gambia,No,No,Answer/report not provided
Georgia,Yes,No,Answer/report not provided
Germany,Yes,Yes,Yes
Ghana,Yes,Yes,Yes
Greece,Yes,Yes,Answer/report not provided
Grenada,No,Answer/report not provided,Answer/report not provided
Guatemala,Yes,Yes,Answer/report not provided
Guyana,Answer/report not provided,Yes,Yes
Honduras,Yes,Yes,Yes
Hungary,Yes,Yes,Yes
Iceland,No,No,Answer/report not provided
India,Yes,Yes,Yes
Iran (Islamic Republic of),Yes,Yes,Answer/report not provided
Iraq,Yes,No,Answer/report not provided
Ireland,Yes,Yes,Yes
Israel,Answer/report not provided,Yes,Answer/report not provided
Italy,Yes,Yes,Answer/report not provided
Jamaica,Yes,Answer/report not provided,Answer/report not provided
Japan,Yes,Yes,Yes
Jordan,Yes,Yes,Yes
Kazakhstan,Yes,Yes,Answer/report not provided
Kenya,No,Answer/report not provided,Yes
Kiribati,Yes,Answer/report not provided,Answer/report not provided
Kuwait,Yes,Yes,Yes
Kyrgyzstan,Yes,Yes,Answer/report not provided
Lao People's Democratic Republic,No,Answer/report not provided,Answer/report not provided
Latvia,Yes,Yes,Yes
Lebanon,Yes,No,No
Lesotho,Yes,Answer/report not provided,Yes
Libyan Arab Jamahiriya,Yes,Yes,Answer/report not provided
Lithuania,Yes,Yes,Yes
Luxembourg,Yes,Yes,Yes
Madagascar,No,No,No
Malaysia,Yes,Yes,Yes
Maldives,No,Answer/report not provided,Answer/report not provided
Mali,No,No,Answer/report not provided
Malta,Yes,Yes,Yes
Marshall Islands,Answer/report not provided,No,No
Mauritania,Answer/report not provided,No,Answer/report not provided
Mauritius,Yes,Yes,No
Mexico,Yes,Yes,Yes
Micronesia (Federated States of),Yes,Yes,Answer/report not provided
Mongolia,No,Yes,Yes
Montenegro,Yes,Yes,Yes
Myanmar,Yes,Answer/report not provided,Answer/report not provided
Namibia,Answer/report not provided,Yes,Yes
Nauru,Answer/report not provided,Answer/report not provided,Answer/report not provided
Nepal,No,No,Answer/report not provided
Netherlands,Yes,Yes,Yes
New Zealand,Yes,Yes,Yes
Niger,Answer/report not provided,No,Answer/report not provided
Nigeria,Yes,Answer/report not provided,Answer/report not provided
Niue,No,Answer/report not provided,No
Norway,Yes,Yes,No
Oman,No,No,No
Pakistan,No,No,Answer/report not provided
Palau,Yes,Yes,Yes
Panama,Yes,Yes,Yes
Papua New Guinea,No,Answer/report not provided,Answer/report not provided
Paraguay,Yes,Yes,Answer/report not provided
Peru,No,No,Answer/report not provided
Philippines,No,Yes,Answer/report not provided
Poland,Yes,Yes,Answer/report not provided
Portugal,Yes,Yes,Yes
Qatar,Yes,Yes,Yes
Republic of Korea,Yes,Yes,Yes
Republic of Moldova,Yes,No,Answer/report not provided
Romania,Yes,Answer/report not provided,Answer/report not provided
Russian Federation,Yes,Yes,Answer/report not provided
Rwanda,Answer/report not provided,No,Answer/report not provided
Saint Kitts and Nevis,Answer/report not provided,No,Answer/report not provided
Saint Lucia,Answer/report not provided,Yes,Answer/report not provided
Saint Vincent and the Grenadines,Answer/report not provided,No,Answer/report not provided
Samoa,Answer/report not provided,Answer/report not provided,Answer/report not provided
San Marino,Yes,No,No
Sao Tome and Principe,Yes,No,Answer/report not provided
Saudi Arabia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Senegal,No,No,Answer/report not provided
Serbia,Yes,Yes,Yes
Seychelles,Yes,Yes,No
Sierra Leone,No,No,Answer/report not provided
Singapore,Yes,Yes,Yes
Slovakia,Yes,Yes,Yes
Slovenia,Yes,Yes,Yes
Solomon Islands,Yes,No,No
South Africa,Yes,No,No
Spain,Yes,Yes,Yes
Sri Lanka,Answer/report not provided,Answer/report not provided,Answer/report not provided
Sudan,Answer/report not provided,Yes,Answer/report not provided
Suriname,Yes,Yes,Answer/report not provided
Swaziland,Answer/report not provided,Yes,Answer/report not provided
Sweden,Yes,Yes,Yes
Syrian Arab Republic,Answer/report not provided,Answer/report not provided,Answer/report not provided
Tajikistan,No,Answer/report not provided,Answer/report not provided
Thailand,Yes,Yes,Yes
The former Yugoslav Republic of Macedonia,Yes,Answer/report not provided,Answer/report not provided
Timor-Leste,Answer/report not provided,Answer/report not provided,Answer/report not provided
Togo,No,No,No
Tonga,Yes,Yes,Yes
Trinidad and Tobago,Yes,Yes,No
Tunisia,Yes,Yes,Answer/report not provided
Turkey,Yes,Yes,Yes
Turkmenistan,Yes,Answer/report not provided,Answer/report not provided
Tuvalu,Yes,Yes,Answer/report not provided
Uganda,No,Yes,Answer/report not provided
Ukraine,Yes,No,No
United Arab Emirates,Yes,Yes,Answer/report not provided
United Kingdom,Yes,Yes,Yes
United Republic of Tanzania,Yes,No,Answer/report not provided
Uruguay,Yes,Yes,Yes
Uzbekistan,Yes,Answer/report not provided,Answer/report not provided
Vanuatu,No,No,Answer/report not provided
Venezuela,Yes,Yes,Answer/report not provided
Viet Nam,Yes,No,No
Yemen,No,No,Answer/report not provided
