Party,2014,2012,2010
Afghanistan,Answer/report not provided,establishment of tobacco control unit in MOPH and TFI officer in WHO country office and strong coordination between related agencies,Answer/report not provided
Albania,Because of the global economic crisis which had its negative impact on Albania as well the lack of resources was quite substantial in such fields as for example implementation of cessation policy etc.,Because of the global economic crisis of 2009 which had its negative impact on Albania as well the lack of resources was quite substantial in such fields as for example implementation of cessation policy etc.,Answer/report not provided
Algeria,Lun des objectifs principaux de la mise en place dun Comité intersectoriel pour la lutte antitabac est l’élaboration d’une stratégie nationale de lutte antitabac. Ce nest quà la lumière de cette stratégie quune estimation des besoins pourra être faite ainsi qu’une évaluation précise des écarts éventuels avec les ressources disponibles.,Answer/report not provided,Answer/report not provided
Antigua and Barbuda,Insufficient cooperation from local key stakeholders. absence of a government supported tobacco control unit and limited capacity for legal assistance,insufficient cooperation from local key stakeholders abscense of a government supported tobacco control unit and limited capacity for legal assistance,Answer/report not provided
Armenia,Answer/report not provided,Answer/report not provided,Because of the global economic crisis of 2009 which had its negative impact on Armenia as well the lack of resources was quite substantial in such fields as for example implementation of cessation policy etc.
Australia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Austria,limited availability of human resources and financial ressources as a result of savings in public administration on national as well as federal state/regional level.,limited availability of human resources as a result of savings in public administration on national as well as federal state/regional level,Answer/report not provided
Azerbaijan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bahamas,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bahrain (Kingdom of),No certified labs are available in Bahrain and regional countries to monitor contents of tobacco products,lack of resources,Answer/report not provided
Bangladesh,Government revenue budget for tobacco control is not all sufficient for implementing the law.Public awareness about the law is also minimal.,Answer/report not provided,Answer/report not provided
Barbados,Answer/report not provided,Answer/report not provided,Answer/report not provided
Belarus,Answer/report not provided,Answer/report not provided,Answer/report not provided
Belgium,Answer/report not provided,The implementation of article 12 is very resource-demanding. We have a clear lack of resources available in that field.,The implementation of article 12 is very resource-demanding. We have a clear lack of resources available in that field.
Belize,Answer/report not provided,Answer/report not provided,Answer/report not provided
Benin,Answer/report not provided,pas de ligne budgetaire nationale pour la lutte anti tabac pas de plan daction ni de stratégie nationale pour la lutte anti tabac au Bénin .,pas de ligne budgetaire nationale pour la lutte anti tabac pas de plan daction ni de stratégie nationale pour la lutte anti tabac au Bénin .
Bhutan,"The resources available are for carrying out the demand reduction measures however measures concerning tobacco dependence and cessation (Article 14) are yet to be implemented. Although Tobacco cessation is one of the provision in the National tobacco legislation Bhutan lacks the following: 
There is no comprehensive and integrated programme concerning tobacco dependence and cessation.
There is no National quitline for tobacco cessation.
Pharmaceutical products for treatment of tobacco dependence are not available in the Public health service.
Limited number of medical staff has received training on cessation and treatment of tobacco dependences.
Since Bhutan has banned the sales of Tobacco products the enforcement agency needs to further enhance the focus on supply reduction measures","Low level of involvement and initiative from the Civil Society Organizations in promoting the implementation of the Convention
Lack of dedicated budget lines for the implementation of the Convention and tobacco control in the Tobacco Control Office and other implementing agencies
No national system for epidemiological surveillance of tobacco consumption and related social economic and health indicators.
Lack of national data on adult tobacco use and burden of disease related with tobacco and direct costs attributable to tobacco use and exposure to tobacco smoke.",The resources available are for carrying out demand reduction measures. Bhutan has banned the sales of tobacco products and now with the legislation in place there are needs to address and focus on supply reduction provisions.
Bolivia,Answer/report not provided,Se necesita fortalecer la fuente presupuestaria a nivel Nacional (Ministerio de Salud y Deportes) y subnacional (Gobiernos autonomos Municipales) OPS/OMS FCA ONU y agencias del desarrollo.,Answer/report not provided
Bosnia and Herzegovina,Enforcement of tobacco control capacity building through strengthening of intersectorial collaboration and coordination.,Enforcement of national tobacco control capacity building through strengthening of intersectorial collaboration and coordination.,Answer/report not provided
Botswana,Answer/report not provided,financial resources are a challenge and create a gap in the implementation of the convention.,Answer/report not provided
Brazil,Technical and financial assistance related to the following FCTC articles: 6º. 9. 10. 15. 17. 18 e 19,Technical and financial assistance related to the following FCTC articles: 6 9 10 15 17 18 and 19.,Technical and financial assistance related to the following FCTC articles: 6 9 10 15 17 18 and 19.
Brunei Darussalam,"Lack of resources
Tobacco control is seen as a lower-priority issue by some non-health agencies.","1. Lack of resources
2. Tobacco control is seen as a lower-priority issue by some non-health agencies.",Answer/report not provided
Bulgaria,Answer/report not provided,Answer/report not provided,Answer/report not provided
Burkina Faso,L’évaluation conjointe de la mise en œuvre de la CCLAT au Burkina Faso en août 2013.,Insuffisance de financement pour la lutte antitabc,Answer/report not provided
Burundi,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cambodia,Answer/report not provided,In the year 2010 the National Strategic Plan for Education and Reduction of Tobacco Use 2011-2015 developed and approved and the conponents of this strategic plan are in line with the key components of the FCTC. In this Strategic Plan we also analysed the gaps of funding for implementations of the plan.,In the year 2010 the National Strategic Plan for Education and Reduction of Tobacco Use 2011-2015 developed and approved and the conponents of this stratigc paln are in line with the key conponents of the FCTC. In this Stratgic Plan we analysed the gaps of fudning for implementations of the plan.
Cameroon,Answer/report not provided,Answer/report not provided,Answer/report not provided
Canada,Answer/report not provided,Answer/report not provided,Answer/report not provided
Central African Republic,Answer/report not provided,Answer/report not provided,Answer/report not provided
Chad,Answer/report not provided,"-Ecart financier de 2012-2013 et 2010-2011 = 11000 USD
- Budget regulier 2012-2013= 11000 USD et le budget Extrabudgetaire=2000 USD osit au total 13 000USD
- Budget regulier de 2010-2011=24000 USD",Answer/report not provided
Chile,Si bien se han establecido recursos para el desarrollo de campañas de prevención. estas están acotadas a un segmento menor de la población. El presupuesto de la Oficina de Tabaco es de U$150.000. Este presupuesto se suma a iniciativas de distintos sectores en busca de la promoción de hábitos saludables donde. generalmente. uno de sus componentes es tabaco.,Si bien se han establecido recursos para el desarrollo de campañas de prevención estas están acotadas a un segmento menor de la población. El presupuesto de la Oficina de Tabaco es de U$150.000. Este presupuesto se suma a iniciativas de distintos sectores en busca de la promoción de hábitos saludables donde generalmente uno de sus componentes es tabaco.,Answer/report not provided
China,1. Chinese people especially men''s smoking rates remain high social environment significant impact on smoking habits. 2. Tobacco control started late tobacco control capacity-building still needed to be improved. 3. The segment of the tobacco control laws and regulations need to be further refined and implemented effectively. 4. In some areas tobacco-related industry remains a main part of the local economy.,Answer/report not provided,Answer/report not provided
Colombia,- Equipo técnico reducido para atender las ingentes demandas y actividades en el marco de la política de control de tabaco.,- Equipo técnico reducido para atender las ingentes demandas y actividades en el marco de la política de control de tabaco.,Answer/report not provided
Comoros,Answer/report not provided,Answer/report not provided,la lutte antitabac aux comores etait focalisé sur une seule personne au ministere de la santé et qui ne faisait rien. En collaboration avec le bureau de lOms aux comores la principale occupation etait la journée intrnationale du tabac qui ne servait pas à grand-chose dans la lutte antitabac. je precise que la lutte antitabac nest pas une seule journée; cest le combat de tout le jour de plusieurs acteurs jouranliste police avocat juge simple cytoen gendarme les responsables politiques les Ongs… cest le combat de tout le monde si bien sur ils sont impliqués. donc il est necessaire dimpliquer les ongs sur la lutte antitabac je trouve utilisé jusquaujourdhui doit être abandonné que le bureau de lOMs aux comores accepte de travailler avec les bonnes volontés quelque soit les liens avec le representant de lOMS notre objectif est la diminution complete des nombres de fumeurs et tous les bonnes volontés doivent être accepté malheureusement pour le bureau de lOMS aux comores ce nest pas les cas dommages.
Congo,Le manque des textes d’application de la loi relative a la lutte antitabac et le désintéressement des cadres des autres ministères dans la lutte antitabac.,Depuis ladoption de notre plan stratégique de lutte antitabac ci-joint nous navons réalisé aucune activité liée aux ressources financières parce quelles ne sont pas disponibles.,Answer/report not provided
Cook Islands,From the needs assessment analysis came about recommendations (following are some and have achieved): development of the2012 – 2016 tobacco action plan tax increase implemented smoking cessation program established legal training assistance review of the current tobacco act yet to be implemented strengthen partnership with Stakeholders.,Some of the Articles in the FCTC is not applicable to Cook Islands e.g Articles 11 17 18 due to the fact that tobaco is only imported.,Answer/report not provided
Costa Rica,Answer/report not provided,No existe una relación real de la Secretaria del CMCT hacia los países como existe en otros Convenios.,Answer/report not provided
Côte d'Ivoire,Answer/report not provided,"Les capacités actuelles du PNLTA qui na comme seule ressource que le budget annuel alloué par lEtat (denviron 45 000 euros) ne lui on t pas permis jusque là la mise en œuvre suffisante des différents plans daction opérationnels adoptés pour lutter contre le tabagisme sur lensemble du territoire.
Lentrée en vigueur de la CCLAT depuis 2010 en Côte dIvoire nous impose dimportants défis supplémentaires à relever bien que lintérêt des mesures quelle propose nous appairait déterminant pour donner une nouvelle dimension à la lutte antitabac en Côte dIvoire et ainsi mieux garantir la protection de la santé des populations.
Il est malheureusement à constater quaucune ressource supplémentaire malgré nos efforts de recherche dans ce sens nest venue sajouter au budget déjà insuffisant alloué par la tutelle pour la mise en œuvre effective de la CCLAT dans notre pays.",Answer/report not provided
Croatia,Insufficient implementation of multisectorial collaboration; insufficient human and financial resources for developing prevention programmes campaigns surveillance and treatment tobacco dependence,Answer/report not provided,Answer/report not provided
Cyprus,Due to the economic crisis of the country available resources on tobacco control are limited.,A tobacco control unit or mechanism with the appropriate personnel should undertake the responsibiltiy to coordinate and also have the competence to promote actions for the implementation of the various articles of the Convention. (which is an enormous load of work for the small in size and resources parties),A tobacco control unit or mechanism with the appropriate personnel should undertake the responsibiltiy to coordinate and also have the competence to promote actions for the implementation of the various articles of the Convention. (which is an enormous load of work for the small in size and resources parties)
Czech Republic,There are limitations in resources as regards monitoring and research cessation services etc.,Answer/report not provided,Answer/report not provided
Democratic People's Republic of Korea,Answer/report not provided,Answer/report not provided,Answer/report not provided
Democratic Republic of the Congo,Answer/report not provided,Answer/report not provided,Answer/report not provided
Denmark,Answer/report not provided,Answer/report not provided,Answer/report not provided
Djibouti,Ces deux dernières années. aucun financement ou soutien n''ont été accordés à la lutte antitabac.,Answer/report not provided,Answer/report not provided
Ecuador,Falta de recursos económicos y autonomía para la utilización de los mismos. especialmente en temas como: Investigaciones para medir los daños del tabaco en la salud y la economía. así como para medir el impacto de las políticas públicas / CMCT. Falta de recursos económicos y de mecanismos político / administrativos para la adquisición de medicamentos de tratamiento del tabaquismo.,Falta de recursos económicos para llevar a cabo investigaciones relacionadas a la prevalencia impacto en la salud y la economía,Answer/report not provided
Egypt,Tobacco industry interference-illicit tobacco trade,Answer/report not provided,Answer/report not provided
El Salvador,"Formación de competencias en funcionarios y operarios de la ley de Tabaco en lo relativo a:
advertencias sanitarias
control del comercio ilícito
control de la publicidad y patrocinio
estrategias a nivel de país para la prevención del consumo del tabaco
revisión y actualización del sistema tributario del tabaco que deja por fuera otros productos de tabaco",Answer/report not provided,Answer/report not provided
Estonia,Answer/report not provided,Answer/report not provided,Answer/report not provided
European Union,Answer/report not provided,Answer/report not provided,Answer/report not provided
