Party,2014,2012,2010
Afghanistan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Albania,Answer/report not provided,Answer/report not provided,Answer/report not provided
Algeria,Answer/report not provided,Answer/report not provided,30
Antigua and Barbuda,Answer/report not provided,Answer/report not provided,Answer/report not provided
Armenia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Australia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Austria,9.7 %,9.00,Answer/report not provided
Azerbaijan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bahamas,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bahrain (Kingdom of),Answer/report not provided,0.00,Answer/report not provided
Bangladesh,If you answered “Yes” to question 2.6.2 what percentage of the national tobacco market do illicit tobacco products constitute?   %,Answer/report not provided,Answer/report not provided
Barbados,Answer/report not provided,Answer/report not provided,Answer/report not provided
Belarus,Answer/report not provided,3.30,Answer/report not provided
Belgium,Answer/report not provided,Answer/report not provided,Answer/report not provided
Belize,Answer/report not provided,Answer/report not provided,Answer/report not provided
Benin,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bhutan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bolivia,Answer/report not provided,0.25,Answer/report not provided
Bosnia and Herzegovina,The Answer is NO %,Answer/report not provided,Answer/report not provided
Botswana,Answer/report not provided,40,Answer/report not provided
Brazil,If you answered “Yes” to question 2.6.2. what percentage of the national tobacco market do illicit tobacco products constitute? 30.9 %,25.00,25.00
Brunei Darussalam,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bulgaria,Answer/report not provided,Answer/report not provided,Answer/report not provided
Burkina Faso,Answer/report not provided,Answer/report not provided,Answer/report not provided
Burundi,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cambodia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cameroon,Answer/report not provided,Answer/report not provided,Answer/report not provided
Canada,Answer/report not provided,Answer/report not provided,Answer/report not provided
Central African Republic,Answer/report not provided,Answer/report not provided,Answer/report not provided
Chad,Answer/report not provided,Answer/report not provided,Answer/report not provided
Chile,Answer/report not provided,Answer/report not provided,Answer/report not provided
China,If you answered “Yes” to question 2.6.2 what percentage of the national tobacco market do illicit tobacco products constitute?   %,Answer/report not provided,Answer/report not provided
Colombia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Comoros,Answer/report not provided,Answer/report not provided,Answer/report not provided
Congo,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cook Islands,Answer/report not provided,Answer/report not provided,Answer/report not provided
Costa Rica,Answer/report not provided,Answer/report not provided,Answer/report not provided
Côte d'Ivoire,Answer/report not provided,Answer/report not provided,Answer/report not provided
Croatia,11  %,Answer/report not provided,Answer/report not provided
Cyprus,Answer/report not provided,Answer/report not provided,Answer/report not provided
Czech Republic,Answer/report not provided,Answer/report not provided,Answer/report not provided
Democratic People's Republic of Korea,Answer/report not provided,Answer/report not provided,Answer/report not provided
Democratic Republic of the Congo,Answer/report not provided,Answer/report not provided,Answer/report not provided
Denmark,Answer/report not provided,Answer/report not provided,Answer/report not provided
Djibouti,Answer/report not provided,Answer/report not provided,Answer/report not provided
Ecuador,% 29.8%,31.10,Answer/report not provided
Egypt,If you answered “Yes” to question 2.6.2. what percentage of the national tobacco market do illicit tobacco products constitute?                  %,Answer/report not provided,Answer/report not provided
El Salvador,If you answered “Yes” to question 2.6.2. what percentage of the national tobacco market do illicit tobacco products constitute?                  %,Answer/report not provided,Answer/report not provided
Estonia,29% %,Answer/report not provided,Answer/report not provided
