Party,2014,2012,2010
Afghanistan,No,No,Answer/report not provided
Albania,No,No,Answer/report not provided
Algeria,No,No,Yes
Antigua and Barbuda,No,No,Answer/report not provided
Armenia,No,No,No
Australia,Answer/report not provided,Yes,Yes
Austria,Yes,Yes,Answer/report not provided
Azerbaijan,Yes,Yes,Yes
Bahamas,No,No,Answer/report not provided
Bahrain (Kingdom of),No,No,Answer/report not provided
Bangladesh,Yes,Yes,Yes
Barbados,No,No,Answer/report not provided
Belarus,No,No,No
Belgium,No,Yes,Yes
Belize,No,Answer/report not provided,Answer/report not provided
Benin,Yes,No,No
Bhutan,No,No,No
Bolivia,Answer/report not provided,Yes,Answer/report not provided
Bosnia and Herzegovina,Yes,Yes,Answer/report not provided
Botswana,Answer/report not provided,Yes,Answer/report not provided
Brazil,Yes,Yes,Yes
Brunei Darussalam,No,No,Answer/report not provided
Bulgaria,No,Yes,Yes
Burkina Faso,Yes,No,Answer/report not provided
Burundi,Answer/report not provided,No,Answer/report not provided
Cambodia,Yes,Yes,No
Cameroon,No,Answer/report not provided,Answer/report not provided
Canada,Yes,Yes,Yes
Central African Republic,Answer/report not provided,No,Answer/report not provided
Chad,Answer/report not provided,No,Answer/report not provided
Chile,Yes,Yes,Answer/report not provided
China,Yes,Yes,Yes
Colombia,Yes,Yes,Answer/report not provided
Comoros,Answer/report not provided,No,No
Congo,No,No,Answer/report not provided
Cook Islands,No,No,No
Costa Rica,Yes,Yes,Answer/report not provided
Côte d'Ivoire,Yes,Yes,Answer/report not provided
Croatia,Yes,Answer/report not provided,Answer/report not provided
Cyprus,Yes,Yes,Yes
Czech Republic,Yes,Answer/report not provided,Answer/report not provided
Democratic People's Republic of Korea,Yes,Yes,Answer/report not provided
Democratic Republic of the Congo,Answer/report not provided,Answer/report not provided,Answer/report not provided
Denmark,Yes,Yes,Yes
Djibouti,No,No,Answer/report not provided
Ecuador,Yes,Yes,Answer/report not provided
Egypt,Yes,No,Yes
El Salvador,No,Answer/report not provided,Answer/report not provided
Estonia,Yes,Yes,Answer/report not provided
European Union,Yes,Yes,Yes
Fiji,No,No,Answer/report not provided
Finland,Yes,No,Answer/report not provided
France,Yes,Yes,Yes
Gabon,No,No,Answer/report not provided
Gambia,No,No,Answer/report not provided
Georgia,Yes,Yes,Answer/report not provided
Germany,Yes,Yes,Yes
Ghana,No,No,No
Greece,Yes,Yes,Answer/report not provided
Grenada,No,Answer/report not provided,Answer/report not provided
Guatemala,Yes,No,Answer/report not provided
Guyana,Answer/report not provided,No,No
Honduras,No,No,No
Hungary,Yes,Yes,Yes
Iceland,Yes,Yes,Answer/report not provided
India,Yes,Yes,Yes
Iran (Islamic Republic of),Yes,Yes,Answer/report not provided
Iraq,No,No,Answer/report not provided
Ireland,Yes,Yes,Yes
Israel,Answer/report not provided,Yes,Answer/report not provided
Italy,Yes,Yes,Answer/report not provided
Jamaica,Yes,Answer/report not provided,Answer/report not provided
Japan,Yes,Yes,Yes
Jordan,No,No,No
Kazakhstan,No,No,Answer/report not provided
Kenya,Yes,Answer/report not provided,No
Kiribati,No,Answer/report not provided,Answer/report not provided
Kuwait,No,No,No
Kyrgyzstan,No,Yes,Answer/report not provided
Lao People's Democratic Republic,No,Answer/report not provided,Answer/report not provided
Latvia,No,No,Yes
Lebanon,Yes,No,No
Lesotho,No,No,No
Libyan Arab Jamahiriya,No,No,Answer/report not provided
Lithuania,No,No,No
Luxembourg,Yes,Yes,Yes
Madagascar,No,Yes,Yes
Malaysia,No,Yes,Yes
Maldives,No,Answer/report not provided,Answer/report not provided
Mali,No,No,Answer/report not provided
Malta,Yes,Yes,Yes
Marshall Islands,Yes,Yes,Yes
Mauritania,No,No,Answer/report not provided
Mauritius,Yes,Yes,No
Mexico,Yes,Yes,Yes
Micronesia (Federated States of),Yes,No,Yes
Mongolia,Yes,Yes,Yes
Montenegro,No,No,No
Myanmar,No,Answer/report not provided,Answer/report not provided
Namibia,Answer/report not provided,Yes,Yes
Nauru,Answer/report not provided,Answer/report not provided,Answer/report not provided
Nepal,Yes,Yes,Answer/report not provided
Netherlands,Yes,Yes,Yes
New Zealand,Yes,Yes,Yes
Niger,Answer/report not provided,No,Answer/report not provided
Nigeria,Yes,Answer/report not provided,Answer/report not provided
Niue,No,Answer/report not provided,No
Norway,Yes,Yes,Yes
Oman,No,No,No
Pakistan,Yes,Yes,Answer/report not provided
Palau,No,No,No
Panama,Yes,Yes,Yes
Papua New Guinea,No,Answer/report not provided,Answer/report not provided
Paraguay,Yes,Yes,Answer/report not provided
Peru,Yes,No,Answer/report not provided
Philippines,Yes,Yes,Answer/report not provided
Poland,Yes,Yes,Answer/report not provided
Portugal,Yes,Yes,Yes
Qatar,Yes,Yes,Yes
Republic of Korea,Yes,Yes,Yes
Republic of Moldova,No,Yes,Answer/report not provided
Romania,Yes,Answer/report not provided,Answer/report not provided
Russian Federation,Yes,Yes,Answer/report not provided
Rwanda,Answer/report not provided,No,Answer/report not provided
Saint Kitts and Nevis,Answer/report not provided,No,Answer/report not provided
Saint Lucia,Answer/report not provided,No,Answer/report not provided
Saint Vincent and the Grenadines,Answer/report not provided,No,Answer/report not provided
Samoa,Answer/report not provided,Answer/report not provided,Answer/report not provided
San Marino,No,No,No
Sao Tome and Principe,No,No,Answer/report not provided
Saudi Arabia,No,No,Answer/report not provided
Senegal,No,No,Answer/report not provided
Serbia,Yes,Yes,Yes
Seychelles,No,No,No
Sierra Leone,No,No,Answer/report not provided
Singapore,Yes,Yes,No
Slovakia,Yes,Yes,Yes
Slovenia,No,No,No
Solomon Islands,No,No,No
South Africa,Yes,Yes,Yes
Spain,Yes,Yes,Yes
Sri Lanka,Answer/report not provided,Answer/report not provided,Answer/report not provided
Sudan,Answer/report not provided,Yes,Answer/report not provided
Suriname,Yes,Yes,Answer/report not provided
Swaziland,Answer/report not provided,No,Answer/report not provided
Sweden,Yes,Yes,Yes
Syrian Arab Republic,Answer/report not provided,Answer/report not provided,No
Tajikistan,No,Answer/report not provided,Answer/report not provided
