Party,2014,2012,2010
Afghanistan,Answer/report not provided,Indicator not used,Indicator not used
Albania,Answer/report not provided,Indicator not used,Indicator not used
Algeria,Answer/report not provided,Indicator not used,Indicator not used
Antigua and Barbuda,Answer/report not provided,Indicator not used,Indicator not used
Armenia,Answer/report not provided,Indicator not used,Indicator not used
Australia,Answer/report not provided,Indicator not used,Indicator not used
Austria,Answer/report not provided,Indicator not used,Indicator not used
Azerbaijan,Answer/report not provided,Indicator not used,Indicator not used
Bahamas,Answer/report not provided,Indicator not used,Indicator not used
Bahrain (Kingdom of),Answer/report not provided,Indicator not used,Indicator not used
Bangladesh,Answer/report not provided,Indicator not used,Indicator not used
Barbados,Answer/report not provided,Indicator not used,Indicator not used
Belarus,Answer/report not provided,Indicator not used,Indicator not used
Belgium,Answer/report not provided,Indicator not used,Indicator not used
Belize,Answer/report not provided,Indicator not used,Indicator not used
Benin,Answer/report not provided,Indicator not used,Indicator not used
Bhutan,Answer/report not provided,Indicator not used,Indicator not used
Bolivia,Answer/report not provided,Indicator not used,Indicator not used
Bosnia and Herzegovina,Answer/report not provided,Indicator not used,Indicator not used
Botswana,Answer/report not provided,Indicator not used,Indicator not used
Brazil,Answer/report not provided,Indicator not used,Indicator not used
Brunei Darussalam,Answer/report not provided,Indicator not used,Indicator not used
Bulgaria,Answer/report not provided,Indicator not used,Indicator not used
Burkina Faso,Le Burkina Faso dispose d’un code de conduite des agents de l’Etat mais ce code ne prévoit malheureusement pas de disposition spécifique sur leurs échanges avec les représentants de l’industrie du tabac.,Indicator not used,Indicator not used
Burundi,Answer/report not provided,Indicator not used,Indicator not used
Cambodia,Answer/report not provided,Indicator not used,Indicator not used
Cameroon,Answer/report not provided,Indicator not used,Indicator not used
Canada,Answer/report not provided,Indicator not used,Indicator not used
Central African Republic,Answer/report not provided,Indicator not used,Indicator not used
Chad,Answer/report not provided,Indicator not used,Indicator not used
Chile,Si bien se ha avanzado en reforzar las directrices entre los organismos del estado y sociedad. no se han desarrollado acciones específicas al respecto.,Indicator not used,Indicator not used
China,Answer/report not provided,Indicator not used,Indicator not used
Colombia,Answer/report not provided,Indicator not used,Indicator not used
Comoros,Answer/report not provided,Indicator not used,Indicator not used
Congo,Answer/report not provided,Indicator not used,Indicator not used
Cook Islands,Answer/report not provided,Indicator not used,Indicator not used
Costa Rica,Ley 9028 garantiza la salud pública. por sobre los intereses comerciales y otros intereses creados de la industria tabacalera.,Indicator not used,Indicator not used
Côte d'Ivoire,"Participation de la société civile dans la mise en œuvre de larticle 5.3: Les Organisations Non Gouvernementales de lutte antitabac ont aussi organisé des Ateliers de formation sur les directives de l’Article 5.3 à l’attention dautres leaders d’ONG et des journalistes. 
Des déclarations dénonçant l’interférence des firmes de tabac sont régulièrement faites par les ONG de lutte antitabac.",Indicator not used,Indicator not used
Croatia,Answer/report not provided,Indicator not used,Indicator not used
Cyprus,The ministry of health announced to the tobacco industries that no tobacco policy issues will be discussed with them and will not accept any kind of interference regarding the tobacco control policies. There are no partnerships or agreements with the tobacco industry. There is no conflict of interest for government employees.,Indicator not used,Indicator not used
Czech Republic,Answer/report not provided,Indicator not used,Indicator not used
Democratic People's Republic of Korea,Answer/report not provided,Indicator not used,Indicator not used
Democratic Republic of the Congo,Answer/report not provided,Indicator not used,Indicator not used
Denmark,Answer/report not provided,Indicator not used,Indicator not used
Djibouti,Answer/report not provided,Indicator not used,Indicator not used
Ecuador,Se las utilizan para difusión en eventos y a través de instrumentos administrativos,Indicator not used,Indicator not used
Egypt,Answer/report not provided,Indicator not used,Indicator not used
El Salvador,Answer/report not provided,Indicator not used,Indicator not used
Estonia,Answer/report not provided,Indicator not used,Indicator not used
European Union,The European Commission consults stakeholders to the extent necessary for the elaboration of the appropriate regulation on tobacco products. The lead service for tobacco control in the EU Commission (Directorate General for Health and Consumers) publishes the minutes of meetings with industry on its website.,Indicator not used,Indicator not used
Fiji,Answer/report not provided,Indicator not used,Indicator not used
Finland,Answer/report not provided,Indicator not used,Indicator not used
France,Answer/report not provided,Indicator not used,Indicator not used
Gabon,Answer/report not provided,Indicator not used,Indicator not used
Gambia,THE GAMBIA DEVELOPING A NEW TOBACO BILL WHICH INCLUDES ART 5.3 AND IS COMING UP WITH NEW CHARGES FOR OFFENDERS,Indicator not used,Indicator not used
Georgia,Amendment Project of the 2010 Tobacco Control Law includes article about the obligation under the article 5.3 of the FCTC but its implementation has not started yet since the Amendment to Law has not been passed in the Parliament yet.,Indicator not used,Indicator not used
Germany,Answer/report not provided,Indicator not used,Indicator not used
Ghana,Answer/report not provided,Indicator not used,Indicator not used
Greece,Answer/report not provided,Indicator not used,Indicator not used
Grenada,A presentation was made to Cabinet and Permanent Secretaries,Indicator not used,Indicator not used
Guatemala,Answer/report not provided,Indicator not used,Indicator not used
Guyana,Answer/report not provided,Indicator not used,Indicator not used
Honduras,En todos los estadios de futbol a nivel nacional. no se ha permitido la injerencia de la industria tabacalera para el patrocinio de ningún equipo de futbol. tampoco potenciar alguna marca de tabaco al interior de dichas instalaciones deportivas,Indicator not used,Indicator not used
Hungary,"The Health State Secretariat has no relation with the tobacco industry. 
The website of the Tobacco Focal Point provides information on the practices of the tobacco industry.",Indicator not used,Indicator not used
Iceland,Answer/report not provided,Indicator not used,Indicator not used
India,The Guidelines for implementation of Article 5.3 has been used as a base document for preparation of the DRAFT guidelines.,Indicator not used,Indicator not used
Iran (Islamic Republic of),Answer/report not provided,Indicator not used,Indicator not used
Iraq,Answer/report not provided,Indicator not used,Indicator not used
Ireland,Answer/report not provided,Indicator not used,Indicator not used
Israel,Answer/report not provided,Indicator not used,Indicator not used
Italy,Answer/report not provided,Indicator not used,Indicator not used
Jamaica,Answer/report not provided,Indicator not used,Indicator not used
Japan,Answer/report not provided,Indicator not used,Indicator not used
Jordan,We are now working to develop a guide to Jordan based on Article 5.3 of the Framework Convention and in collaboration with the World Health Organization.,Indicator not used,Indicator not used
Kazakhstan,Answer/report not provided,Indicator not used,Indicator not used
Kenya,Answer/report not provided,Indicator not used,Indicator not used
Kiribati,Answer/report not provided,Indicator not used,Indicator not used
Kuwait,Answer/report not provided,Indicator not used,Indicator not used
Kyrgyzstan,Answer/report not provided,Indicator not used,Indicator not used
