Party,2014,2012,2010
Afghanistan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Albania,Answer/report not provided,No,Answer/report not provided
Algeria,No,No,No
Antigua and Barbuda,No,No,Answer/report not provided
Armenia,No,No,No
Australia,Yes,Yes,Yes
Austria,No,No,Answer/report not provided
Azerbaijan,No,Answer/report not provided,Answer/report not provided
Bahamas,No,No,Answer/report not provided
Bahrain (Kingdom of),Yes,Yes,Answer/report not provided
Bangladesh,Answer/report not provided,No,No
Barbados,Answer/report not provided,No,Answer/report not provided
Belarus,No,No,Yes
Belgium,Yes,No,No
Belize,No,Answer/report not provided,Answer/report not provided
Benin,No,No,No
Bhutan,Yes,No,Answer/report not provided
Bolivia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bosnia and Herzegovina,No,No,Answer/report not provided
Botswana,Answer/report not provided,No,Answer/report not provided
Brazil,No,No,No
Brunei Darussalam,No,No,Answer/report not provided
Bulgaria,Yes,No,No
Burkina Faso,No,Answer/report not provided,Answer/report not provided
Burundi,Answer/report not provided,No,Answer/report not provided
Cambodia,No,No,No
Cameroon,Answer/report not provided,Answer/report not provided,Answer/report not provided
Canada,Yes,Yes,Yes
Central African Republic,Answer/report not provided,Answer/report not provided,Answer/report not provided
Chad,Answer/report not provided,No,Answer/report not provided
Chile,No,No,Answer/report not provided
China,No,No,No
Colombia,No,No,Answer/report not provided
Comoros,Answer/report not provided,Answer/report not provided,No
Congo,No,No,Answer/report not provided
Cook Islands,No,Yes,Yes
Costa Rica,No,Yes,Answer/report not provided
Côte d'Ivoire,No,Answer/report not provided,Answer/report not provided
Croatia,No,Answer/report not provided,Answer/report not provided
Cyprus,No,No,No
Czech Republic,No,Answer/report not provided,Answer/report not provided
Democratic People's Republic of Korea,Answer/report not provided,Answer/report not provided,Answer/report not provided
Democratic Republic of the Congo,Answer/report not provided,Answer/report not provided,Answer/report not provided
Denmark,No,No,Yes
Djibouti,No,No,Answer/report not provided
Ecuador,No,No,Answer/report not provided
Egypt,No,Answer/report not provided,No
El Salvador,No,Answer/report not provided,Answer/report not provided
Estonia,No,No,Answer/report not provided
European Union,No,No,Answer/report not provided
Fiji,No,Yes,Answer/report not provided
Finland,No,No,Answer/report not provided
France,No,No,No
Gabon,No,No,Answer/report not provided
Gambia,No,No,Answer/report not provided
Georgia,Yes,Yes,Answer/report not provided
Germany,No,No,Answer/report not provided
Ghana,Yes,No,Answer/report not provided
Greece,No,No,Answer/report not provided
Grenada,Answer/report not provided,Answer/report not provided,Answer/report not provided
Guatemala,No,Answer/report not provided,Answer/report not provided
Guyana,Answer/report not provided,Answer/report not provided,No
Honduras,Yes,Yes,Yes
Hungary,No,No,No
Iceland,No,No,Answer/report not provided
India,Answer/report not provided,No,Yes
Iran (Islamic Republic of),Yes,Yes,Answer/report not provided
Iraq,No,No,Answer/report not provided
Ireland,No,No,No
Israel,Answer/report not provided,Answer/report not provided,Answer/report not provided
Italy,Yes,Yes,Answer/report not provided
Jamaica,No,Answer/report not provided,Answer/report not provided
Japan,No,No,No
Jordan,No,No,No
Kazakhstan,No,No,Answer/report not provided
Kenya,No,Answer/report not provided,No
Kiribati,Yes,Answer/report not provided,Answer/report not provided
Kuwait,Answer/report not provided,Answer/report not provided,Answer/report not provided
Kyrgyzstan,Yes,No,Answer/report not provided
Lao People's Democratic Republic,No,Answer/report not provided,Answer/report not provided
Latvia,No,No,No
Lebanon,Answer/report not provided,Answer/report not provided,Answer/report not provided
Lesotho,Answer/report not provided,No,No
Libyan Arab Jamahiriya,No,No,Answer/report not provided
Lithuania,No,No,No
Luxembourg,No,No,No
Madagascar,Yes,Answer/report not provided,No
Malaysia,Yes,Yes,Yes
Maldives,Answer/report not provided,Answer/report not provided,Answer/report not provided
Mali,No,No,Answer/report not provided
Malta,No,No,Answer/report not provided
Marshall Islands,No,Yes,Yes
Mauritania,Answer/report not provided,Yes,Answer/report not provided
Mauritius,Yes,Yes,Yes
Mexico,No,No,No
Micronesia (Federated States of),No,No,Yes
Mongolia,No,Yes,Yes
Montenegro,No,No,No
Myanmar,No,Answer/report not provided,Answer/report not provided
Namibia,Answer/report not provided,Yes,Yes
Nauru,Answer/report not provided,Answer/report not provided,Answer/report not provided
Nepal,Answer/report not provided,Yes,Answer/report not provided
Netherlands,Yes,Yes,Yes
New Zealand,Yes,Yes,Yes
Niger,Answer/report not provided,Yes,Answer/report not provided
Nigeria,No,Answer/report not provided,Answer/report not provided
Niue,Yes,Answer/report not provided,Yes
Norway,No,No,No
Oman,No,No,No
Pakistan,Answer/report not provided,Yes,Answer/report not provided
Palau,Yes,Yes,Yes
Panama,No,No,No
Papua New Guinea,No,Answer/report not provided,Answer/report not provided
Paraguay,No,No,Answer/report not provided
Peru,No,Answer/report not provided,Answer/report not provided
Philippines,Answer/report not provided,Yes,Answer/report not provided
Poland,No,No,Answer/report not provided
Portugal,No,Yes,Yes
Qatar,Yes,No,Answer/report not provided
Republic of Korea,No,No,No
Republic of Moldova,No,No,Answer/report not provided
Romania,No,Answer/report not provided,Answer/report not provided
Russian Federation,No,No,Answer/report not provided
Rwanda,Answer/report not provided,No,Answer/report not provided
Saint Kitts and Nevis,Answer/report not provided,Answer/report not provided,Answer/report not provided
Saint Lucia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Saint Vincent and the Grenadines,Answer/report not provided,No,Answer/report not provided
Samoa,Answer/report not provided,Answer/report not provided,Answer/report not provided
San Marino,No,No,No
Sao Tome and Principe,No,Answer/report not provided,Answer/report not provided
Saudi Arabia,Answer/report not provided,No,Answer/report not provided
Senegal,No,No,Answer/report not provided
Serbia,No,No,No
Seychelles,Answer/report not provided,No,No
Sierra Leone,Yes,No,Answer/report not provided
Singapore,Yes,Yes,Yes
Slovakia,No,No,No
Slovenia,No,No,No
Solomon Islands,No,Yes,Yes
South Africa,Yes,No,No
Spain,Yes,Yes,Yes
Sri Lanka,Answer/report not provided,Answer/report not provided,Answer/report not provided
Sudan,Answer/report not provided,No,Answer/report not provided
Suriname,Answer/report not provided,No,Answer/report not provided
Swaziland,Answer/report not provided,No,Answer/report not provided
Sweden,Answer/report not provided,Answer/report not provided,No
Syrian Arab Republic,Answer/report not provided,Answer/report not provided,Answer/report not provided
Tajikistan,Yes,Answer/report not provided,Answer/report not provided
Thailand,Yes,Yes,Yes
The former Yugoslav Republic of Macedonia,Yes,Answer/report not provided,Answer/report not provided
Timor-Leste,Answer/report not provided,Answer/report not provided,Answer/report not provided
Togo,Yes,Yes,No
Tonga,Yes,Yes,Yes
Trinidad and Tobago,No,No,No
Tunisia,No,Answer/report not provided,Answer/report not provided
Turkey,Yes,Yes,Yes
Turkmenistan,No,Answer/report not provided,Answer/report not provided
Tuvalu,No,No,Answer/report not provided
Uganda,Yes,Answer/report not provided,Answer/report not provided
Ukraine,Answer/report not provided,No,No
United Arab Emirates,Yes,Yes,Answer/report not provided
United Kingdom,Yes,Yes,Yes
United Republic of Tanzania,Answer/report not provided,Answer/report not provided,Answer/report not provided
Uruguay,No,No,No
Uzbekistan,Yes,Answer/report not provided,Answer/report not provided
Vanuatu,Answer/report not provided,No,Answer/report not provided
Venezuela,Yes,Yes,Answer/report not provided
Viet Nam,Yes,No,No
Yemen,Answer/report not provided,No,Answer/report not provided
