Party,2014,2012,2010
Afghanistan,Answer/report not provided,Indicator not used,Indicator not used
Albania,Answer/report not provided,Indicator not used,Indicator not used
Algeria,Answer/report not provided,Indicator not used,Indicator not used
Antigua and Barbuda,Answer/report not provided,Indicator not used,Indicator not used
Armenia,Answer/report not provided,Indicator not used,Indicator not used
Australia,Answer/report not provided,Indicator not used,Indicator not used
Austria,Answer/report not provided,Indicator not used,Indicator not used
Azerbaijan,Answer/report not provided,Indicator not used,Indicator not used
Bahamas,Answer/report not provided,Indicator not used,Indicator not used
Bahrain (Kingdom of),Answer/report not provided,Indicator not used,Indicator not used
Bangladesh,Answer/report not provided,Indicator not used,Indicator not used
Barbados,Answer/report not provided,Indicator not used,Indicator not used
Belarus,Answer/report not provided,Indicator not used,Indicator not used
Belgium,Answer/report not provided,Indicator not used,Indicator not used
Belize,Answer/report not provided,Indicator not used,Indicator not used
Benin,"Nous formons les agents de santé médicaux et paramédicaux sur les protocoles de prise en charge des Maladies Non Transmissibles au niveau périphérique et parmi ces protocoles il y a un module de cessation de fumer nous sommes à une étape expérimentale et nous recherchons des ressources pour un passage à l’échelle nationale.
Les produits de substitutions de la nicotine sont peu disponibles dans les officines et sont considérés comme des cosmétiques et les coûts ne sont pas abordables. Une action est prévue dans ce sens pour rendre ces produits disponibles de même que d’autres pour le sevrage tabagique et à moindre coût.",Indicator not used,Indicator not used
Bhutan,Answer/report not provided,Indicator not used,Indicator not used
Bolivia,Answer/report not provided,Indicator not used,Indicator not used
Bosnia and Herzegovina,Answer/report not provided,Indicator not used,Indicator not used
Botswana,Answer/report not provided,Indicator not used,Indicator not used
Brazil,Answer/report not provided,Indicator not used,Indicator not used
Brunei Darussalam,Answer/report not provided,Indicator not used,Indicator not used
Bulgaria,Answer/report not provided,Indicator not used,Indicator not used
Burkina Faso,Answer/report not provided,Indicator not used,Indicator not used
Burundi,Answer/report not provided,Indicator not used,Indicator not used
Cambodia,The Ministry of Health. NGOs and relevant stakeholders have launched a number of education programs on effects of smoking as well as smoking cessation programs. in compliance with WHO FCTC''s article 14,Indicator not used,Indicator not used
Cameroon,Answer/report not provided,Indicator not used,Indicator not used
Canada,Answer/report not provided,Indicator not used,Indicator not used
Central African Republic,Answer/report not provided,Indicator not used,Indicator not used
Chad,Answer/report not provided,Indicator not used,Indicator not used
Chile,La Oficina de Tabaco utiliza constantemente las Directrices del Convenio Marco en la elaboración de sus proyectos pero no está consignada expresamente esta directriz en trabajos presentes.,Indicator not used,Indicator not used
China,Answer/report not provided,Indicator not used,Indicator not used
Colombia,Answer/report not provided,Indicator not used,Indicator not used
Comoros,Answer/report not provided,Indicator not used,Indicator not used
Congo,Answer/report not provided,Indicator not used,Indicator not used
Cook Islands,Answer/report not provided,Indicator not used,Indicator not used
Costa Rica,El Ministerio de Salud coordinó con un experto en Tabaco para realizar un análisis de situación de la implementación del artículo 14. con participación de funcionarios de instituciones públicas y entes privados.,Indicator not used,Indicator not used
Côte d'Ivoire,Answer/report not provided,Indicator not used,Indicator not used
Croatia,Answer/report not provided,Indicator not used,Indicator not used
Cyprus,Answer/report not provided,Indicator not used,Indicator not used
Czech Republic,Answer/report not provided,Indicator not used,Indicator not used
Democratic People's Republic of Korea,Answer/report not provided,Indicator not used,Indicator not used
Democratic Republic of the Congo,Answer/report not provided,Indicator not used,Indicator not used
Denmark,Answer/report not provided,Indicator not used,Indicator not used
Djibouti,Answer/report not provided,Indicator not used,Indicator not used
Ecuador,Answer/report not provided,Indicator not used,Indicator not used
Egypt,Answer/report not provided,Indicator not used,Indicator not used
El Salvador,Answer/report not provided,Indicator not used,Indicator not used
Estonia,Answer/report not provided,Indicator not used,Indicator not used
European Union,Answer/report not provided,Indicator not used,Indicator not used
Fiji,Answer/report not provided,Indicator not used,Indicator not used
Finland,Answer/report not provided,Indicator not used,Indicator not used
France,Answer/report not provided,Indicator not used,Indicator not used
Gabon,Answer/report not provided,Indicator not used,Indicator not used
Gambia,Answer/report not provided,Indicator not used,Indicator not used
Georgia,Answer/report not provided,Indicator not used,Indicator not used
Germany,Answer/report not provided,Indicator not used,Indicator not used
Ghana,Answer/report not provided,Indicator not used,Indicator not used
Greece,Answer/report not provided,Indicator not used,Indicator not used
Grenada,Answer/report not provided,Indicator not used,Indicator not used
Guatemala,Answer/report not provided,Indicator not used,Indicator not used
Guyana,Answer/report not provided,Indicator not used,Indicator not used
Honduras,Desde la entrada en vigencia de la Ley Especial para el Control del tabaco LECT y su Reglamentación el IHADFA brinda servicio de atención a la demanda de tratamiento para el consumo de tabaco. sin embargo dado el bajo presupuesto asignado por el Congreso Nacional no ha sido posible la adquisición de productos farmacéuticos para tal fin.,Indicator not used,Indicator not used
Hungary,Answer/report not provided,Indicator not used,Indicator not used
Iceland,Answer/report not provided,Indicator not used,Indicator not used
India,The guidelines have been referred to while developing cessation guidelines/modules,Indicator not used,Indicator not used
Iran (Islamic Republic of),Answer/report not provided,Indicator not used,Indicator not used
Iraq,Answer/report not provided,Indicator not used,Indicator not used
Ireland,Answer/report not provided,Indicator not used,Indicator not used
Israel,Answer/report not provided,Indicator not used,Indicator not used
Italy,Answer/report not provided,Indicator not used,Indicator not used
Jamaica,Answer/report not provided,Indicator not used,Indicator not used
Japan,Answer/report not provided,Indicator not used,Indicator not used
Jordan,Answer/report not provided,Indicator not used,Indicator not used
Kazakhstan,Answer/report not provided,Indicator not used,Indicator not used
Kenya,Answer/report not provided,Indicator not used,Indicator not used
Kiribati,Answer/report not provided,Indicator not used,Indicator not used
Kuwait,Answer/report not provided,Indicator not used,Indicator not used
Kyrgyzstan,Answer/report not provided,Indicator not used,Indicator not used
Lao People's Democratic Republic,Answer/report not provided,Indicator not used,Indicator not used
Latvia,Answer/report not provided,Indicator not used,Indicator not used
Lebanon,Answer/report not provided,Indicator not used,Indicator not used
Lesotho,Answer/report not provided,Indicator not used,Indicator not used
Libyan Arab Jamahiriya,Answer/report not provided,Indicator not used,Indicator not used
Lithuania,Answer/report not provided,Indicator not used,Indicator not used
Luxembourg,Answer/report not provided,Indicator not used,Indicator not used
Madagascar,Answer/report not provided,Indicator not used,Indicator not used
