Party,2014,2012,2010
Afghanistan,Answer/report not provided,No,Answer/report not provided
Albania,Yes,Yes,Answer/report not provided
Algeria,No,Yes,Yes
Antigua and Barbuda,No,No,Answer/report not provided
Armenia,Yes,Yes,Yes
Australia,No,No,No
Austria,Yes,No,Answer/report not provided
Azerbaijan,No,Answer/report not provided,Answer/report not provided
Bahamas,No,No,Answer/report not provided
Bahrain (Kingdom of),Yes,Yes,Answer/report not provided
Bangladesh,Yes,Yes,Yes
Barbados,No,No,Answer/report not provided
Belarus,Yes,Yes,Yes
Belgium,Yes,No,No
Belize,No,Answer/report not provided,Answer/report not provided
Benin,No,Yes,Yes
Bhutan,Yes,Yes,Yes
Bolivia,Answer/report not provided,Yes,Answer/report not provided
Bosnia and Herzegovina,Yes,Yes,Answer/report not provided
Botswana,Answer/report not provided,Yes,Answer/report not provided
Brazil,Yes,Yes,Yes
Brunei Darussalam,Yes,No,Answer/report not provided
Bulgaria,Yes,Yes,Yes
Burkina Faso,Yes,No,Answer/report not provided
Burundi,Answer/report not provided,No,Answer/report not provided
Cambodia,Yes,Yes,Yes
Cameroon,Yes,Answer/report not provided,Answer/report not provided
Canada,Yes,Yes,Yes
Central African Republic,Answer/report not provided,No,Answer/report not provided
Chad,Answer/report not provided,Yes,Answer/report not provided
Chile,Yes,Yes,Answer/report not provided
China,Yes,Yes,Yes
Colombia,No,Yes,Answer/report not provided
Comoros,Answer/report not provided,No,No
Congo,No,No,Answer/report not provided
Cook Islands,Yes,Yes,Yes
Costa Rica,Yes,Yes,Answer/report not provided
Côte d'Ivoire,Yes,Yes,Answer/report not provided
Croatia,No,Yes,Answer/report not provided
Cyprus,No,No,No
Czech Republic,No,Answer/report not provided,Answer/report not provided
Democratic People's Republic of Korea,Yes,Yes,Answer/report not provided
Democratic Republic of the Congo,Answer/report not provided,Answer/report not provided,Answer/report not provided
Denmark,No,No,No
Djibouti,No,No,Answer/report not provided
Ecuador,Yes,No,Answer/report not provided
Egypt,Yes,Yes,Yes
El Salvador,Yes,Answer/report not provided,Answer/report not provided
Estonia,No,No,Answer/report not provided
European Union,Yes,Yes,Yes
Fiji,Yes,Yes,Answer/report not provided
Finland,Yes,Yes,Yes
France,Yes,No,No
Gabon,No,No,Answer/report not provided
Gambia,Yes,No,Answer/report not provided
Georgia,No,No,Answer/report not provided
Germany,Yes,Yes,Yes
Ghana,Yes,Yes,No
Greece,Yes,Yes,Answer/report not provided
Grenada,No,Answer/report not provided,Answer/report not provided
Guatemala,No,No,Answer/report not provided
Guyana,Answer/report not provided,Yes,Yes
Honduras,No,No,No
Hungary,No,No,No
Iceland,No,No,Answer/report not provided
India,Yes,Yes,Yes
Iran (Islamic Republic of),Yes,Yes,Answer/report not provided
Iraq,Yes,Yes,Answer/report not provided
Ireland,Yes,No,No
Israel,Answer/report not provided,Yes,Answer/report not provided
Italy,Yes,Yes,Answer/report not provided
Jamaica,Yes,Answer/report not provided,Answer/report not provided
Japan,Yes,Yes,Yes
Jordan,Yes,Yes,Yes
Kazakhstan,No,No,Answer/report not provided
Kenya,No,Answer/report not provided,Yes
Kiribati,No,Answer/report not provided,Answer/report not provided
Kuwait,Yes,Yes,Yes
Kyrgyzstan,Yes,No,Answer/report not provided
Lao People's Democratic Republic,No,No,Answer/report not provided
Latvia,No,No,No
Lebanon,Yes,Yes,Yes
Lesotho,No,Answer/report not provided,Yes
Libyan Arab Jamahiriya,Yes,Yes,Answer/report not provided
Lithuania,No,Answer/report not provided,Yes
Luxembourg,Yes,Yes,Yes
Madagascar,No,No,No
Malaysia,No,No,No
Maldives,Yes,Answer/report not provided,Answer/report not provided
Mali,No,No,Answer/report not provided
Malta,Answer/report not provided,No,No
Marshall Islands,Yes,No,No
Mauritania,Answer/report not provided,Answer/report not provided,Answer/report not provided
Mauritius,Yes,Yes,Yes
Mexico,Yes,Yes,Yes
Micronesia (Federated States of),Yes,Yes,Answer/report not provided
Mongolia,Yes,Yes,Yes
Montenegro,Yes,Yes,Yes
Myanmar,Yes,Answer/report not provided,Answer/report not provided
Namibia,Answer/report not provided,Yes,Yes
Nauru,Answer/report not provided,Answer/report not provided,Answer/report not provided
Nepal,Yes,Yes,Answer/report not provided
Netherlands,No,No,No
New Zealand,No,No,No
Niger,Answer/report not provided,Yes,Answer/report not provided
Nigeria,No,Answer/report not provided,Answer/report not provided
Niue,No,Answer/report not provided,No
Norway,No,No,No
Oman,No,No,No
Pakistan,No,No,Answer/report not provided
Palau,Yes,Yes,Yes
Panama,Yes,Yes,Yes
Papua New Guinea,No,Answer/report not provided,Answer/report not provided
Paraguay,No,No,Answer/report not provided
Peru,Yes,No,Answer/report not provided
Philippines,Yes,Yes,Answer/report not provided
Poland,Yes,Yes,Answer/report not provided
Portugal,No,No,No
Qatar,No,Yes,Answer/report not provided
Republic of Korea,Yes,Yes,Yes
Republic of Moldova,Yes,No,Answer/report not provided
Romania,No,Answer/report not provided,Answer/report not provided
Russian Federation,No,No,Answer/report not provided
Rwanda,Answer/report not provided,Yes,Answer/report not provided
Saint Kitts and Nevis,Answer/report not provided,No,Answer/report not provided
Saint Lucia,Answer/report not provided,No,Answer/report not provided
Saint Vincent and the Grenadines,Answer/report not provided,No,Answer/report not provided
Samoa,Answer/report not provided,Answer/report not provided,Answer/report not provided
San Marino,No,No,No
Sao Tome and Principe,No,No,Answer/report not provided
Saudi Arabia,No,No,Answer/report not provided
Senegal,No,No,Answer/report not provided
Serbia,No,No,No
Seychelles,No,No,No
Sierra Leone,No,Answer/report not provided,Answer/report not provided
Singapore,No,Yes,Yes
Slovakia,Yes,Yes,Yes
Slovenia,Yes,Yes,Yes
Solomon Islands,Yes,Yes,Yes
South Africa,No,Yes,Yes
Spain,Answer/report not provided,Yes,Yes
Sri Lanka,Answer/report not provided,No,Answer/report not provided
Sudan,Answer/report not provided,No,Answer/report not provided
Suriname,Yes,Yes,Answer/report not provided
Swaziland,Answer/report not provided,No,Answer/report not provided
Sweden,No,No,Yes
Syrian Arab Republic,Answer/report not provided,Answer/report not provided,Yes
Tajikistan,No,Answer/report not provided,Answer/report not provided
Thailand,Yes,Yes,Yes
The former Yugoslav Republic of Macedonia,Yes,Answer/report not provided,Answer/report not provided
Timor-Leste,Answer/report not provided,Answer/report not provided,Answer/report not provided
Togo,Yes,Yes,No
Tonga,Yes,Yes,Yes
Trinidad and Tobago,No,No,No
Tunisia,Yes,Yes,Answer/report not provided
Turkey,Yes,Yes,Yes
Turkmenistan,Yes,Answer/report not provided,Answer/report not provided
Tuvalu,No,Answer/report not provided,Answer/report not provided
Uganda,No,Yes,Answer/report not provided
Ukraine,No,No,No
United Arab Emirates,Yes,Yes,Answer/report not provided
United Kingdom,Yes,Yes,Yes
United Republic of Tanzania,No,Answer/report not provided,Answer/report not provided
Uruguay,Yes,Yes,No
Uzbekistan,Yes,Answer/report not provided,Answer/report not provided
Vanuatu,No,Yes,Answer/report not provided
Venezuela,Yes,Yes,Answer/report not provided
Viet Nam,Yes,Yes,Yes
Yemen,No,Yes,Answer/report not provided
