Party,2014,2012,2010
Afghanistan,Answer/report not provided,no information at this point,Answer/report not provided
Albania,1228 hectares,Answer/report not provided,Answer/report not provided
Algeria,La production du tabac (tous types confondus) est de 865 millions DA soit 0 00034 % de la valeur de la production agricole 2,Production moyenne:82808 QUINTAUX,"Production de feuilles de tabac = 5 8 millions $
PIB = 140 57 milliards $"
Antigua and Barbuda,Answer/report not provided,Answer/report not provided,Answer/report not provided
Armenia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Australia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Austria,Answer/report not provided,Answer/report not provided,Answer/report not provided
Azerbaijan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bahamas,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bahrain (Kingdom of),Answer/report not provided,Answer/report not provided,Answer/report not provided
Bangladesh,Answer/report not provided,No avilable data,Answer/report not provided
Barbados,Answer/report not provided,Answer/report not provided,Answer/report not provided
Belarus,Answer/report not provided,Answer/report not provided,Answer/report not provided
Belgium,Answer/report not provided,Only 50 hectares of tobacco field in Belgium. Very small activity.,Only 50 hectares of tobacco field in Belgium. Very small activity.
Belize,Answer/report not provided,Answer/report not provided,Answer/report not provided
Benin,insignifiante,Answer/report not provided,Answer/report not provided
Bhutan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bolivia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bosnia and Herzegovina,Answer/report not provided,Answer/report not provided,Answer/report not provided
Botswana,Answer/report not provided,Answer/report not provided,Answer/report not provided
Brazil,0.10% in 2012,"In 2009 the National Gross Domestic Product was R$ 3.185.125.369.000* and in the harvest 2009/2010 the value of the tobacco leaf production was R$ 4.360.000.000 00 **
The share of tobacco and its products among the main Products Exported in 2010 was - 1.4% ( it was almost 10% less than in 2009)***.","In 2009 the National Gross Domestic Product was R$ 3.185.125.369.000* and in the harvest 2009/2010 the value of the tobacco leaf production was R$ 4.360.000.000 00 **
The share of tobacco and its products among the main Products Exported in 2010 was - 1.4% ( it was almost 10% less than in 2009)***."
Brunei Darussalam,Answer/report not provided,Answer/report not provided,Answer/report not provided
Bulgaria,"Total production of raw tobacco 
2009 - 51 322 tons 
2010 - 41 056 tons 
2011 - 40 607 tons 
2012 - 28 060 tons","2.07 % from the gross value added for the agricultural
sector",2.07 % from the gross value added for the agricultural sector
Burkina Faso,Answer/report not provided,Answer/report not provided,Answer/report not provided
Burundi,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cambodia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cameroon,Answer/report not provided,Answer/report not provided,Answer/report not provided
Canada,Answer/report not provided,Based on 2006 data Statistics Canada reports that 0.0002% of Canadas gross domestic product is a result of tobacco leaf growing.,Based on 2006 data Statistics Canada reports that 0.0002% of Canadas gross domestic product is a result of tobacco leaf growing.
Central African Republic,Answer/report not provided,Answer/report not provided,Answer/report not provided
Chad,Answer/report not provided,Answer/report not provided,Answer/report not provided
Chile,No contamos con información,No contamos con información,Answer/report not provided
China,0.1%,0.1%,0.1%
Colombia,El valor es: 128.000 de millones de pesos colombianos y participa con el 0.3% del PIB agrícola del año 2011.,0 5% del PIB Agrícola.,Answer/report not provided
Comoros,Answer/report not provided,Answer/report not provided,Answer/report not provided
Congo,Answer/report not provided,Answer/report not provided,Answer/report not provided
Cook Islands,Answer/report not provided,Cook Islands does not grow tobacco,Answer/report not provided
Costa Rica,Para el 2012 se cultivo Tabaco en la Región Brunca. cantón de Pérez Zeledón. el área sembrada fue de 20 hectáreas con una producción de 37 toneladas métricas. para un rendimiento de 1.85 (t/ha El valor bruto de la producción de tabaco como actividad del sector agropecuario fue de 296 Millones de colones corrientes. mientras que el valor agregado fue de 234 millones de colones corrientes,Answer/report not provided,Answer/report not provided
Côte d'Ivoire,0,0.1%,Answer/report not provided
Croatia,0,Answer/report not provided,Answer/report not provided
Cyprus,Answer/report not provided,Answer/report not provided,Answer/report not provided
Czech Republic,Answer/report not provided,Answer/report not provided,Answer/report not provided
Democratic People's Republic of Korea,Answer/report not provided,Answer/report not provided,Answer/report not provided
Democratic Republic of the Congo,Answer/report not provided,Answer/report not provided,Answer/report not provided
Denmark,Answer/report not provided,Answer/report not provided,Answer/report not provided
Djibouti,Answer/report not provided,Answer/report not provided,Answer/report not provided
Ecuador,Answer/report not provided,Answer/report not provided,Answer/report not provided
Egypt,Answer/report not provided,Answer/report not provided,Answer/report not provided
El Salvador,Answer/report not provided,Answer/report not provided,Answer/report not provided
Estonia,Answer/report not provided,Answer/report not provided,Answer/report not provided
European Union,2012 value of raw tobacco production: 626 million EUR,2011 value of tobacco production: 681 Mio EUROS,Answer/report not provided
Fiji,Answer/report not provided,no information available,Answer/report not provided
Finland,Answer/report not provided,Answer/report not provided,Answer/report not provided
France,40 Millions deuros (très négligeable devant un PIB français de lordre de 2032.3 Milliards deuros,Answer/report not provided,Answer/report not provided
Gabon,La production locale de tabac (brun) est insignifiante et destinée à la consommation personnelle,La production locale de tabac (brun) est insignifiante et destinée à la consommation personnelle. Lunique usine de fabrication de cigarette au Gabon importe sa matière première.,Answer/report not provided
Gambia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Georgia,22,22.4 million GEL (0.1%),Answer/report not provided
Germany,Answer/report not provided,0.001 %,0.001 %
Ghana,Answer/report not provided,Not Available,Not Available
Greece,Answer/report not provided,Answer/report not provided,Answer/report not provided
Grenada,Answer/report not provided,Answer/report not provided,Answer/report not provided
Guatemala,Answer/report not provided,Answer/report not provided,Answer/report not provided
Guyana,Answer/report not provided,Answer/report not provided,Answer/report not provided
Honduras,Answer/report not provided,Answer/report not provided,Answer/report not provided
Hungary,0.12%,Answer/report not provided,0.01 %
Iceland,Answer/report not provided,Answer/report not provided,Answer/report not provided
India,Answer/report not provided,Answer/report not provided,Answer/report not provided
Iran (Islamic Republic of),Answer/report not provided,Answer/report not provided,Answer/report not provided
Iraq,Answer/report not provided,Answer/report not provided,Answer/report not provided
Ireland,Answer/report not provided,Answer/report not provided,Answer/report not provided
Israel,Answer/report not provided,Answer/report not provided,Answer/report not provided
Italy,0,In Italy (crop 2010) the value of the raw tobacco produced was about 196 Million € which represents a minimal share (0 013%) of the Italian 2010 global GDP which was 1.548.816 Million € (both figures are at 2010 current prices). Even tough in the tobacco growing districts the production represents a much higher percentage of the local GDP.,Answer/report not provided
Jamaica,Answer/report not provided,Answer/report not provided,Answer/report not provided
Japan,About 0,About 0.01% (Domestic production in the FY2010 / Japans nominal GDP in the FY 2010),About 0.01% (Domestic production in the year 2008 / Japans nominal GDP in the year 2008)
Jordan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Kazakhstan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Kenya,Answer/report not provided,Answer/report not provided,Total output by the three companies in 2009 was 20 million kg of dried leaf worth about KSH 2 billion.
Kiribati,Answer/report not provided,Answer/report not provided,Answer/report not provided
Kuwait,Answer/report not provided,Answer/report not provided,Answer/report not provided
Kyrgyzstan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Lao People's Democratic Republic,Answer/report not provided,Answer/report not provided,Answer/report not provided
Latvia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Lebanon,Answer/report not provided,Answer/report not provided,Answer/report not provided
Lesotho,Answer/report not provided,Answer/report not provided,Answer/report not provided
Libyan Arab Jamahiriya,Answer/report not provided,Answer/report not provided,Answer/report not provided
Lithuania,Answer/report not provided,Answer/report not provided,Answer/report not provided
Luxembourg,Answer/report not provided,Answer/report not provided,Answer/report not provided
Madagascar,Answer/report not provided,Answer/report not provided,nd
Malaysia,Answer/report not provided,RM34.71Million (2009) RM45.39Million (2010) and RM42.28Million (2011),Answer/report not provided
Maldives,Answer/report not provided,Answer/report not provided,Answer/report not provided
Mali,Answer/report not provided,données non connues,Answer/report not provided
Malta,Answer/report not provided,Answer/report not provided,Answer/report not provided
Marshall Islands,Answer/report not provided,Answer/report not provided,Answer/report not provided
Mauritania,Answer/report not provided,Answer/report not provided,Answer/report not provided
Mauritius,0,0.02%,0.03%
Mexico,Answer/report not provided,"La superficie cosechada de tabaco se redujo de 22 mil a más de 3.8 mil hectáreas (ha) en los últimos doce años. En el mismo periodo la producción se redujo de 45 mil a 8.8 miles de toneladas. Lo que significa una reducción de 80.4% en la producción. 
El rendimiento pasó de 1.9 ton/hectárea en el año 2000 a 1.59 ton/hectárea en 2011.
En 2011 el valor de la producción fue de 204 MDP con un precio medio rural superior a 23 mil pesos por tonelada. La producción de México representa sólo el 0.12% de la producción mundial.
En 2011 se produjeron 8.8 miles de ton de tabaco principalmente en Nayarit (86%) Veracruz (10.24%) y Chiapas (2.9%). El 90% de la producción se obtiene en el ciclo O-I (principalmente en Nayarit). El 69% del total de la superficie se siembra en áreas de riego (2 930.2 ha en Nayarit y 191.3 ha en Chiapas). La superficie de temporal se ubica en Veracruz (1 111 ha) y Nayarit (291.42 ha).","Para el 2008 el valor de la producción fué de 264 millones de pesos mismo que representa el 0.09% del PIB.
De acuerdo al estudio realizado por el INSP la producción de tabaco ha disminuido sustancialmente en los últimos años mostrando un declive a partir del 2000. Del total del área cultivada en México en 2007 sólo el 0.05% se usó para la producción de hojas de tabaco. El valor de la producción de hojas de tabaco representa el 0.07% del valor total de la producción del sector primario y el 0.1% del valor de la producción agrícola total. El empleo para el cultivo de la hoja del tabaco es estacional y en México sólo se requieren entre 150 y 238 jornales de trabajo por hectárea por ciclo."
Micronesia (Federated States of),Not available,Not available,Answer/report not provided
Mongolia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Montenegro,0 004%,0 01%,0 01%
Myanmar,The information is not available,Answer/report not provided,Answer/report not provided
Namibia,Answer/report not provided,Answer/report not provided,Answer/report not provided
Nauru,Answer/report not provided,Answer/report not provided,Answer/report not provided
Nepal,Answer/report not provided,Information not available,Answer/report not provided
Netherlands,Answer/report not provided,Answer/report not provided,Answer/report not provided
New Zealand,Answer/report not provided,Answer/report not provided,Answer/report not provided
Niger,Answer/report not provided,Answer/report not provided,Answer/report not provided
Nigeria,Answer/report not provided,Answer/report not provided,Answer/report not provided
Niue,Answer/report not provided,Answer/report not provided,Answer/report not provided
Norway,Answer/report not provided,Answer/report not provided,Answer/report not provided
Oman,Answer/report not provided,0.000001191672,000000001
Pakistan,Answer/report not provided,Answer/report not provided,Answer/report not provided
Palau,Answer/report not provided,Answer/report not provided,Answer/report not provided
Panama,"La última información disponible data del 2011 y es la misma del reporte anterior. la cual copio.
Debido a que en Panamá no se elaboran productos de tabaco a escala comercial desde el año 1998 debido a que las tres empresas que se dedicaban a este negocio del tabaco retiraron esta actividad comercial en Panamá. el sistema de Cuentas Nacionales no cuenta con el valor económico de la producción del tabaco. La poca producción que hay de tabaco es para consumo local y de manera artesanal.
Sin embargo podemos indicar que el Instituto Nacional de Estadísticas de la Contraloría General de la República realizó la Encuesta Agropecuaria Nacional incluyéndose el rubro 2011 este rubro producción de Tabaco como insumo y producción de cigarros encontrándose que:
 En todo el país hubo 173 explotaciones de tabaco con una superficie en hectáreas sembradas de 178.41 y una pérdida de 15.79 hectáreas. se cosecharon 3510 quintales de hojas de tabaco. Las provincias donde se practican estos cultivos son la de Chiriquí que concentra el 83.8% de las explotaciones. con el 98.8% de la superficie sembrada y el 99.4% de las hectáreas perdidas. En esta provincia se concentra el 99.3% de la cosecha con un promedio de 19.8 quintales por hectárea sembrada. que al considerar la pérdida de 15.7 hectáreas reflejaría un promedio de quintales por hectárea de 21.7 quintales por hectárea.
 También se cultiva tabaco en mínima escala en las provincias de Darién. Herrera. Los Santos y Panamá. en las cuales se realizaron un total de 23 explotaciones con 0.5225 hectáreas sembradas y una pérdida de 0.09 hectáreas. en conjunto en estas provincias se cosecharon 26 quintales. para un promedio de 1.13 quintales por hectárea sembrada. lo que nos sugiere que se trata de un cultivo de uso doméstico","Debido a que en Panamá no se elaboran productos de tabaco a escala comercial desde el año 1998 debido a que las tres empresas que se dedicaban a este negocio del tabaco retiraron esta activoidad comercial en Panamá el sistema de Cuentas Nacionales no cucenta con el valor económico de la producción del tabaco. La poca producción que hay de tabaco es para consumo local y de manera artesanal.
Sin embargo podemos indicar que el Instituto Nacional de Estadísticas de la Contraloría General de la República realizó la Encuesta Agropecuaria Nacional incluyendose el rubro 2011 este rubro producción de Tabaco como insumo y producción de cigarros encontrándose que:
 En todo el país hubo 173 explotaciones de tabaco con una superficie en hectáreas sembradas de 178.41 y una perdida de 15.79 hectáreas se cosecharon 3510 quintales de hojas de tabaco. Las provincias donde se practican estos cultivos son la de Chiriquí que concentra el 83.8% de las explotaciones con el 98.8% de la superficie sembrada y el 99.4% de las hectáreas perdidas. En esta provincia se concentra el 99.3% de la cosecha con un promedio de 19.8 quintales por hectárea sembrada que al considerar la perdida de 15.7 hectáreas reflejaría un promedio de quintales por hectárea de 21.7 quintales por hectárea.
 También se cultiva tabaco en mínima escala en las provincias de Darién Herrera Los Santos y Panamá en las cuales se realizaron un total de 23 explotaciones con 0.5225 hectáreas sembradas y una perdida de 0.09 hectáreas en conjunto en estas provincias se cosecharon 26 quintales para un promedio de 1.13 quintales por hectárea sembrada lo que nos sugiere que se trata de un cultivo de uso doméstico.",No disponible. La Contraloría General de la República ha eliminado de la Encuesta Agropecuaria Nacional este rubro debido a su insignificante producción. Solo hasta el primer trimestre del año 2002 hubo registro de producción de Tabaco como insumo y producción de cigarros según la Contraloría General de la República.
Papua New Guinea,Tobacco is small quantity – not measure of regulated,Answer/report not provided,Answer/report not provided
Paraguay,La información que se tiene es un conglomerado de producción de tabaco y alcohol. sin discriminación.,Answer/report not provided,Answer/report not provided
Peru,por favor. véase el anexo 3,Answer/report not provided,Answer/report not provided
